pair_idx,f,seed,direction,source_layer,target_layer,rows,n,control_slot_idx,transfer_slot_idx,control_exact,transfer_exact,control_only_exact,transfer_only_exact,both_exact,neither_exact,control_syndrome_ok,transfer_syndrome_ok,control_only_syndrome_ok,transfer_only_syndrome_ok,both_syndrome_ok,neither_syndrome_ok,source_exact,source_provenance
43,1.2,2026091305,L1_TO_L2,L1,L2,52,64,128,129,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
44,1.2,2026091305,L2_TO_L1,L2,L1,59,64,131,132,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
45,1.2,2026091306,L1_TO_L2,L1,L2,52,64,134,135,False,True,False,True,False,False,False,True,False,True,False,False,False,CHECK_UPDATED
46,1.2,2026091306,L2_TO_L1,L2,L1,59,64,137,138,False,True,False,True,False,False,False,True,False,True,False,False,False,CHECK_UPDATED
47,1.2,2026091307,L1_TO_L2,L1,L2,52,64,140,141,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
48,1.2,2026091307,L2_TO_L1,L2,L1,59,64,143,144,False,True,False,True,False,False,False,True,False,True,False,False,False,CHECK_UPDATED
49,1.2,2026091308,L1_TO_L2,L1,L2,52,64,146,147,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
50,1.2,2026091308,L2_TO_L1,L2,L1,59,64,149,150,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
51,1.2,2026091309,L1_TO_L2,L1,L2,52,64,152,153,False,False,False,False,False,True,False,False,False,False,False,True,True,CHECK_UPDATED
52,1.2,2026091309,L2_TO_L1,L2,L1,59,64,155,156,True,True,False,False,True,False,True,True,False,False,True,False,False,CHECK_UPDATED
53,1.2,2026091310,L1_TO_L2,L1,L2,52,64,158,159,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
54,1.2,2026091310,L2_TO_L1,L2,L1,59,64,161,162,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
55,1.2,2026091311,L1_TO_L2,L1,L2,52,64,164,165,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
56,1.2,2026091311,L2_TO_L1,L2,L1,59,64,167,168,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
57,1.2,2026091312,L1_TO_L2,L1,L2,52,64,170,171,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
58,1.2,2026091312,L2_TO_L1,L2,L1,59,64,173,174,False,True,False,True,False,False,False,True,False,True,False,False,False,CHECK_UPDATED
59,1.2,2026091313,L1_TO_L2,L1,L2,52,64,176,177,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
60,1.2,2026091313,L2_TO_L1,L2,L1,59,64,179,180,False,True,False,True,False,False,False,True,False,True,False,False,False,CHECK_UPDATED
61,1.2,2026091314,L1_TO_L2,L1,L2,52,64,182,183,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
62,1.2,2026091314,L2_TO_L1,L2,L1,59,64,185,186,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
63,1.2,2026091315,L1_TO_L2,L1,L2,52,64,188,189,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
64,1.2,2026091315,L2_TO_L1,L2,L1,59,64,191,192,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
