dataset_id,dimension,bin_width_ps,frame_cap,frames_used_actual,method,method_status,backend_status,block_size_schedule,num_passes,permutation_mode,seed,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,post_ir_ser,leak_EC_actual_bits,leak_EC_per_input_bit,runtime_s,notes,param_hash
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,no_verified_success,internal_cascade_lite,"16,32,64,128",6,identity,0,4,0,0,4,0.0,0.2421875,0.0625,912.0,0.35625,0.05631040001753718,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=600; bisection_disclosures_bits=184; verification_bits=128; other_disclosures_bits=0; candidate_flips=46; verified_flips=46; total_blocks_checked=300; status_reason=no_verified_success; success=0/4; raw_ser=0.2421875; post_ir_ser=0.0625",63bd09359267310c
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,1,4,4,0,0,1.0,0.2421875,0.0,990.0,0.38671875,0.07793969998601824,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=604; bisection_disclosures_bits=258; verification_bits=128; other_disclosures_bits=0; candidate_flips=62; verified_flips=62; total_blocks_checked=302",29020ebdb18ce89f
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",6,seeded_random,0,4,4,0,0,1.0,0.2421875,0.0,1524.0,0.5953125,0.08309780003037304,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=seeded_random; parity_disclosures_bits=1200; bisection_disclosures_bits=196; verification_bits=128; other_disclosures_bits=0; candidate_flips=62; verified_flips=62; total_blocks_checked=600",ab6194c1b8076873
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,0,4,4,0,0,1.0,0.2421875,0.0,997.0,0.389453125,0.09484299994073808,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=606; bisection_disclosures_bits=263; verification_bits=128; other_disclosures_bits=0; candidate_flips=62; verified_flips=62; total_blocks_checked=303",3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",6,seeded_random,0,4,4,0,0,1.0,0.2421875,0.0,997.0,0.389453125,0.08716540003661066,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=6; permutation_mode=seeded_random; parity_disclosures_bits=606; bisection_disclosures_bits=263; verification_bits=128; other_disclosures_bits=0; candidate_flips=62; verified_flips=62; total_blocks_checked=303",c8e68be9f13a3ff7
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",6,seeded_random,1,4,4,0,0,1.0,0.2421875,0.0,990.0,0.38671875,0.10390049999114126,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=6; permutation_mode=seeded_random; parity_disclosures_bits=604; bisection_disclosures_bits=258; verification_bits=128; other_disclosures_bits=0; candidate_flips=62; verified_flips=62; total_blocks_checked=302",bbcdaabb0f38893b
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",4,identity,1,16,14,0,2,0.875,0.232421875,0.00390625,6014.0,0.5873046875,0.1553974999114871,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=4800; bisection_disclosures_bits=702; verification_bits=512; other_disclosures_bits=0; candidate_flips=234; verified_flips=234; total_blocks_checked=2400",462a3bc6d744a527
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",4,identity,0,4,3,0,1,0.75,0.21875,0.0078125,1490.0,0.58203125,0.03431279992219061,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=1200; bisection_disclosures_bits=162; verification_bits=128; other_disclosures_bits=0; candidate_flips=54; verified_flips=54; total_blocks_checked=600",6c76f6300a2bf603
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",6,identity,1,16,14,0,2,0.875,0.232421875,0.00390625,6014.0,0.5873046875,0.1768255999777466,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=4800; bisection_disclosures_bits=702; verification_bits=512; other_disclosures_bits=0; candidate_flips=234; verified_flips=234; total_blocks_checked=2400",f21d3c73c2c63926
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",4,identity,0,16,14,0,2,0.875,0.232421875,0.00390625,6014.0,0.5873046875,0.21316670009400696,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=4800; bisection_disclosures_bits=702; verification_bits=512; other_disclosures_bits=0; candidate_flips=234; verified_flips=234; total_blocks_checked=2400",f09d76ded5a6e7d2
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,identity,0,16,5,0,11,0.3125,0.232421875,0.0390625,3704.0,0.36171875,0.18309349997434765,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=2400; bisection_disclosures_bits=792; verification_bits=512; other_disclosures_bits=0; candidate_flips=198; verified_flips=198; total_blocks_checked=1200",9d423c80473677e6
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",6,identity,0,16,14,0,2,0.875,0.232421875,0.00390625,6014.0,0.5873046875,0.19688209996093065,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=4800; bisection_disclosures_bits=702; verification_bits=512; other_disclosures_bits=0; candidate_flips=234; verified_flips=234; total_blocks_checked=2400",477ef1fd0ff5ecb2
