dataset_id,method,frame_idx,decode_success,verify_success,raw_frame_ser,raw_frame_ber,post_frame_ser,post_frame_ber,leak_bits_frame,iterations_used,runtime_ms,passes_used,total_blocks_checked,parity_disclosures_bits,bisection_disclosures_bits,verification_bits,other_disclosures_bits,candidate_flips,verified_flips,block_size_schedule,num_passes,notes,dimension,bin_width_ps,data_mode,frame_cap,permutation_mode,seed,param_hash
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,379.0,47,4.229900077916682,4,150,300,47,32,0,15,15,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,b9f654c90a774d3d
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,379.0,47,16.332500032149255,4,150,300,47,32,0,15,15,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,b9f654c90a774d3d
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,374.0,42,19.919799990020692,4,150,300,42,32,0,14,14,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,b9f654c90a774d3d
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.28125,0.028125,0.0,0.0,386.0,54,15.109700034372509,4,150,300,54,32,0,18,18,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,ef3fd819508ca339
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,381.0,49,16.261099954135716,4,150,300,49,32,0,15,15,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,ef3fd819508ca339
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,379.0,47,15.846899943426251,4,150,300,47,32,0,15,15,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,ef3fd819508ca339
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,378.0,46,17.51519995741546,4,150,300,46,32,0,14,14,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,ef3fd819508ca339
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.28125,0.028125,0.0,0.0,392.0,60,10.641600005328655,4,150,300,60,32,0,18,18,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,da44be679542d120
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,379.0,47,20.150500000454485,4,150,300,47,32,0,15,15,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,da44be679542d120
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,379.0,47,4.80190000962466,4,150,300,47,32,0,15,15,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,da44be679542d120
