dataset_id,data_mode,dimension,bin_width_ps,method,method_variant,method_status,backend_status,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,raw_ber,post_ir_ser,post_ir_ber,leak_EC_actual_bits,leak_EC_per_input_bit,beta_eff_empirical,runtime_s,throughput_input_bits_per_s,throughput_output_bits_per_s
synthetic_d8_ser005,synthetic,8,,cascade_lite,gray,ok,internal_cascade_lite,8.0,8.0,0.0,0.0,1.0,0.056640625,0.030598958333333336,0.0,0.0,1159.0,0.7545572916666666,0.0,0.002825000003213063,543716.8135408863,543716.8135408863
synthetic_d8_ser005,synthetic,8,,layered_ldpc_lite,gray_hard_ldpc,ok,ldpc.BpOsdDecoder,8.0,8.0,0.0,0.0,1.0,0.056640625,0.030598958333333336,0.0,0.0,1408.0,0.9166666666666666,0.0,2.8997544999874663,529.7000142621174,529.7000142621174
synthetic_d8_ser005,synthetic,8,,polar_existing,read_existing,ok,read_existing_file,8.0,0.0,8.0,0.0,0.0,0.46875,0.030598958333333332,0.46875,0.030598958333333332,,,,,,
synthetic_d8_ser005,synthetic,8,,qldpc_reference,offline_reference,ok,qary_ldpc_reference_qary_hard_syndrome_bf_internal_gf2m_8,8.0,6.0,0.0,2.0,0.75,0.056640625,0.030598958333333336,0.01171875,0.007161458333333334,1024.0,0.6666666666666666,0.0,0.14654799998970702,10481.207523186142,7860.905642389607
