candidate_id,lambda_edge,dbar_v,max_check_degree
lam_d2_0.60_d3_0.30_d4_0.05_d5_0.05,"{2: 0.6, 3: 0.3, 4: 0.05, 5: 0.05}",2.3669,14
lam_d2_0.60_d3_0.30_d4_0.10_d5_0.00,"{2: 0.6, 3: 0.3, 4: 0.1}",2.3529,14
lam_d2_0.60_d3_0.35_d4_0.00_d5_0.05,"{2: 0.6, 3: 0.35, 5: 0.05}",2.3438,14
lam_d2_0.60_d3_0.35_d4_0.05_d5_0.00,"{2: 0.6, 3: 0.35, 4: 0.05}",2.3301,13
lam_d2_0.60_d3_0.40_d4_0.00_d5_0.00,"{2: 0.6, 3: 0.4}",2.3077,13
lam_d2_0.65_d3_0.00_d4_0.00_d5_0.35,"{2: 0.65, 5: 0.35}",2.5316,15
lam_d2_0.65_d3_0.00_d4_0.05_d5_0.30,"{2: 0.65, 4: 0.05, 5: 0.3}",2.5157,15
lam_d2_0.65_d3_0.00_d4_0.10_d5_0.25,"{2: 0.65, 4: 0.1, 5: 0.25}",2.5000,14
lam_d2_0.65_d3_0.00_d4_0.15_d5_0.20,"{2: 0.65, 4: 0.15, 5: 0.2}",2.4845,14
lam_d2_0.65_d3_0.00_d4_0.20_d5_0.15,"{2: 0.65, 4: 0.2, 5: 0.15}",2.4691,14
lam_d2_0.65_d3_0.00_d4_0.25_d5_0.10,"{2: 0.65, 4: 0.25, 5: 0.1}",2.4540,14
lam_d2_0.65_d3_0.00_d4_0.30_d5_0.05,"{2: 0.65, 4: 0.3, 5: 0.05}",2.4390,14
lam_d2_0.65_d3_0.00_d4_0.35_d5_0.00,"{2: 0.65, 4: 0.35}",2.4242,14
lam_d2_0.65_d3_0.05_d4_0.00_d5_0.30,"{2: 0.65, 3: 0.05, 5: 0.3}",2.4896,14
lam_d2_0.65_d3_0.05_d4_0.05_d5_0.25,"{2: 0.65, 3: 0.05, 4: 0.05, 5: 0.25}",2.4742,14
lam_d2_0.65_d3_0.05_d4_0.10_d5_0.20,"{2: 0.65, 3: 0.05, 4: 0.1, 5: 0.2}",2.4590,14
lam_d2_0.65_d3_0.05_d4_0.15_d5_0.15,"{2: 0.65, 3: 0.05, 4: 0.15, 5: 0.15}",2.4440,14
lam_d2_0.65_d3_0.05_d4_0.20_d5_0.10,"{2: 0.65, 3: 0.05, 4: 0.2, 5: 0.1}",2.4291,14
lam_d2_0.65_d3_0.05_d4_0.25_d5_0.05,"{2: 0.65, 3: 0.05, 4: 0.25, 5: 0.05}",2.4145,14
lam_d2_0.65_d3_0.05_d4_0.30_d5_0.00,"{2: 0.65, 3: 0.05, 4: 0.3}",2.4000,14
lam_d2_0.65_d3_0.10_d4_0.00_d5_0.25,"{2: 0.65, 3: 0.1, 5: 0.25}",2.4490,14
lam_d2_0.65_d3_0.10_d4_0.05_d5_0.20,"{2: 0.65, 3: 0.1, 4: 0.05, 5: 0.2}",2.4341,14
lam_d2_0.65_d3_0.10_d4_0.10_d5_0.15,"{2: 0.65, 3: 0.1, 4: 0.1, 5: 0.15}",2.4194,14
lam_d2_0.65_d3_0.10_d4_0.15_d5_0.10,"{2: 0.65, 3: 0.1, 4: 0.15, 5: 0.1}",2.4048,14
lam_d2_0.65_d3_0.10_d4_0.20_d5_0.05,"{2: 0.65, 3: 0.1, 4: 0.2, 5: 0.05}",2.3904,14
lam_d2_0.65_d3_0.10_d4_0.25_d5_-0.00,"{2: 0.65, 3: 0.1, 4: 0.25}",2.3762,14
lam_d2_0.65_d3_0.15_d4_0.00_d5_0.20,"{2: 0.65, 3: 0.15, 5: 0.2}",2.4096,14
lam_d2_0.65_d3_0.15_d4_0.05_d5_0.15,"{2: 0.65, 3: 0.15, 4: 0.05, 5: 0.15}",2.3952,14
lam_d2_0.65_d3_0.15_d4_0.10_d5_0.10,"{2: 0.65, 3: 0.15, 4: 0.1, 5: 0.1}",2.3810,14
lam_d2_0.65_d3_0.15_d4_0.15_d5_0.05,"{2: 0.65, 3: 0.15, 4: 0.15, 5: 0.05}",2.3669,14
lam_d2_0.65_d3_0.15_d4_0.20_d5_-0.00,"{2: 0.65, 3: 0.15, 4: 0.2}",2.3529,14
lam_d2_0.65_d3_0.20_d4_0.00_d5_0.15,"{2: 0.65, 3: 0.2, 5: 0.15}",2.3715,14
lam_d2_0.65_d3_0.20_d4_0.05_d5_0.10,"{2: 0.65, 3: 0.2, 4: 0.05, 5: 0.1}",2.3576,14
lam_d2_0.65_d3_0.20_d4_0.10_d5_0.05,"{2: 0.65, 3: 0.2, 4: 0.1, 5: 0.05}",2.3438,14
lam_d2_0.65_d3_0.20_d4_0.15_d5_-0.00,"{2: 0.65, 3: 0.2, 4: 0.15}",2.3301,13
lam_d2_0.65_d3_0.25_d4_0.00_d5_0.10,"{2: 0.65, 3: 0.25, 5: 0.1}",2.3346,13
lam_d2_0.65_d3_0.25_d4_0.05_d5_0.05,"{2: 0.65, 3: 0.25, 4: 0.05, 5: 0.05}",2.3211,13
lam_d2_0.65_d3_0.25_d4_0.10_d5_-0.00,"{2: 0.65, 3: 0.25, 4: 0.1}",2.3077,13
lam_d2_0.65_d3_0.30_d4_0.00_d5_0.05,"{2: 0.65, 3: 0.3, 5: 0.05}",2.2989,13
lam_d2_0.65_d3_0.30_d4_0.05_d5_-0.00,"{2: 0.65, 3: 0.3, 4: 0.05}",2.2857,13
lam_d2_0.65_d3_0.35_d4_0.00_d5_0.00,"{2: 0.65, 3: 0.35}",2.2642,13
