session_id,acquisition_id,source_label,provenance,CAL_lambda,CAL_lambda_at_boundary,CAL_H_full,CAL_CE_full,CAL_CE_bit,CAL_D_bits,CAL_effective_contexts,CE_full_VAL,CE_bit_VAL,D_bits_VAL,chain_delta_H,pure_brute_maxΔ,pure_brute_maxΔ_all_zero,pure_is_pure,required,required_CV,gap,margin_gap,margin_vs_required,r0,required_rows,H_bin_shape,H_bin_sha,rank_ok,prefix_ok,nonzero_ok,unique_ok,val_b_unseen,joint_unseen,DeltaCE,max_dCE_bit,classification,successor,capacity_warning,successor_v71_not_started,cal_val_ce_consistency,required_consistency
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,comparison_bench/outputs_comparison/v55_intake_20260828/pairs/20260123_1M_600k_0dB/pairs.parquet,221.22162910704503,False,7.135005172802673,7.135005172802673,"0.920107,0.911697,0.904217,0.903233,0.902344,0.901008,0.900386,0.899663,0.898677,0.896101",1.9024271890065396,1024,7.150000879558332,"0.914012,0.904577,0.895531,0.893744,0.893281,0.892785,0.891512,0.890229,0.890663,0.887976",1.8043091929412913,0.0,8.881784197001252e-16,8.881784197001252e-16,True,9519,9499,721,0.07041015625,0.0,160,9519,9519x10240,97ab00bc38ab5a70,True,True,True,True,0.0,0.4911346435546875,0.0149957067556592,0.009488831321127211,V70_SOFT_JOINT_FEASIBLE,v70_binary_soft_joint_code_design,True,True,0.0149957067556592,20
20260107_PPLN_1p5M,20260107_PPLN_1p5M,1p5M,comparison_bench/outputs_comparison/v55_intake_20260828/pairs/20260107_PPLN_1p5M/pairs.parquet,221.22162910704503,False,7.523243697268693,7.523243697268693,"0.935916,0.926496,0.923083,0.920759,0.919883,0.918987,0.918194,0.917875,0.917194,0.911449",1.6865932402691666,1024,7.547197377709444,"0.930505,0.920945,0.915340,0.913567,0.911803,0.913147,0.912389,0.911308,0.910937,0.904546",1.597288605648708,0.0,3.774758283725532e-15,3.774758283725532e-15,True,10047,10015,193,0.01884765625,0.0,160,10047,10047x10240,97ab00bc38ab5a70,True,True,True,True,0.0,0.521240234375,0.023953680440750524,0.008080099627923443,V70_SOFT_JOINT_MARGINAL,v70_binary_soft_joint_code_design,True,True,0.023953680440750524,32
20260123_2M_1p2M_0dB,20260123_2M_1p2M_0dB,2M,comparison_bench/outputs_comparison/v55_intake_20260828/pairs/20260123_2M_1p2M_0dB/pairs.parquet,356.2247890262444,False,8.385623861090046,8.385623861090046,"0.972480,0.967886,0.965887,0.965189,0.964676,0.964270,0.963817,0.964632,0.961879,0.955497",1.2605903842409454,1024,8.390139443334444,"0.968432,0.963865,0.960908,0.960134,0.959637,0.959202,0.958444,0.957817,0.956748,0.950700",1.2057474949418268,0.0,2.6645352591003757e-15,2.6645352591003757e-15,True,11169,11163,-929,-0.09072265625,0.0,160,11169,11169x10240,97ab00bc38ab5a70,False,False,False,False,0.0,0.595001220703125,0.004515582244398075,0.006815251724630822,V70_EVIDENCE_INCOMPLETE,recollect,True,True,0.004515582244398075,6
