session_id,acquisition_id,source_label,S_tuple,S_lex_index,S_bits,is_S_nat,CAL_lambda,CAL_lambda_at_boundary,CAL_H_cal,CAL_ValNLL,CAL_DeltaNLL,CAL_val_b_context_unseen,CAL_joint_cell_unseen,CAL_q_mass_unseen,CAL_effective_contexts,CAL_CE1_cv,CAL_CE2_cv,CAL_m1_cv,CAL_m2_cv,CAL_max_cv,CAL_sum_cv,CAL_abs_cv,VAL_CE1,VAL_CE2,VAL_CE_full,chain_delta,VAL_m1_raw,VAL_m2_raw,VAL_raw_disclosure,VAL_max_m,VAL_sum_m,VAL_abs_m,VAL_ValNLL,VAL_DeltaNLL,VAL_val_b_context_unseen,VAL_joint_cell_unseen,VAL_q_mass_unseen,capacity_warning_m1,capacity_warning_m2,capacity_warning_disclosure,descriptive_ValNLL_gt_Hcal_plus_1,descriptive_ValNLL_gt_Hcal_plus_0_5,descriptive_joint_gt_1pct,is_S_star_per_session,is_S_star_common,per_session_classification,successor,cal_val_consistency
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 3, 4]",0,01234,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.97312092488043,3.161884247922243,1058,842,1058,1900,216,3.9411658708782626,3.208835008680069,7.150000879558332,4.440892098500626e-16,1050,855,9589,1050,1905,195,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 3, 5]",1,01235,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.972695822429295,3.1623093503733775,1058,842,1058,1900,216,3.9387010503879507,3.2112998291703807,7.150000879558332,8.881784197001252e-16,1049,855,9584,1049,1904,194,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 3, 6]",2,01236,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.973024897979583,3.1619802748230903,1058,842,1058,1900,216,3.940554442424453,3.2094464371338782,7.150000879558332,8.881784197001252e-16,1050,855,9589,1050,1905,195,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 3, 7]",3,01237,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.9724066588673566,3.162598513935316,1058,843,1058,1901,215,3.9383521275064917,3.21164875205184,7.150000879558332,4.440892098500626e-16,1049,856,9589,1049,1905,193,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 3, 8]",4,01238,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.9722980752688146,3.1627070975338585,1058,843,1058,1901,215,3.9367935099429303,3.2132073696154015,7.150000879558332,4.440892098500626e-16,1049,856,9589,1049,1905,193,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 3, 9]",5,01239,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.9693778881307447,3.1656272846719276,1057,843,1057,1900,214,3.9378646012785627,3.212136278279769,7.150000879558332,4.440892098500626e-16,1049,856,9589,1049,1905,193,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 4, 5]",6,01245,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.972489978834994,3.1625151939676783,1058,842,1058,1900,216,3.941594191418776,3.208406688139555,7.150000879558332,8.881784197001252e-16,1050,855,9589,1050,1905,195,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 4, 6]",7,01246,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.9729312017025267,3.1620739711001464,1058,842,1058,1900,216,3.9400188972172847,3.2099819823410476,7.150000879558332,0.0,1049,855,9584,1049,1904,194,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 4, 7]",8,01247,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.9733899985284573,3.161615174274216,1058,842,1058,1900,216,3.9389065412362756,3.2110943383220567,7.150000879558332,0.0,1049,855,9584,1049,1904,194,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 4, 8]",9,01248,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.9719781332947406,3.1630270395079325,1058,843,1058,1901,215,3.9366723664408187,3.2133285131175127,7.150000879558332,8.881784197001252e-16,1049,856,9589,1049,1905,193,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 4, 9]",10,01249,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.969243382426557,3.1657617903761155,1057,843,1057,1900,214,3.9385675779008658,3.2114333016574665,7.150000879558332,0.0,1049,856,9589,1049,1905,193,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 5, 6]",11,01256,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.9726161735074763,3.1623889992951963,1058,842,1058,1900,216,3.941013343405288,3.2089875361530438,7.150000879558332,4.440892098500626e-16,1050,855,9589,1050,1905,195,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 5, 7]",12,01257,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.97270861391949,3.162296558883183,1058,842,1058,1900,216,3.9376030685761094,3.2123978109822224,7.150000879558332,4.440892098500626e-16,1049,856,9589,1049,1905,193,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 5, 8]",13,01258,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.97316875810798,3.161836414694692,1058,842,1058,1900,216,3.9359610454753007,3.2140398340830316,7.150000879558332,0.0,1048,856,9584,1048,1904,192,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 5, 9]",14,01259,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.9692227598099294,3.165782412992743,1057,843,1057,1900,214,3.9352909898833843,3.214709889674948,7.150000879558332,0.0,1048,856,9584,1048,1904,192,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 6, 7]",15,01267,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.9722034986903454,3.1628016741123277,1058,843,1058,1901,215,3.9409340451624146,3.2090668343959177,7.150000879558332,0.0,1050,855,9589,1050,1905,195,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 6, 8]",16,01268,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.9706140192276758,3.164391153574997,1058,843,1058,1901,215,3.9380310701355854,3.2119698094227465,7.150000879558332,4.440892098500626e-16,1049,856,9589,1049,1905,193,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 6, 9]",17,01269,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.9702423071132475,3.164762865689425,1058,843,1058,1901,215,3.938806731578411,3.2111941479799206,7.150000879558332,4.440892098500626e-16,1049,855,9584,1049,1904,194,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 7, 8]",18,01278,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.9717855985100172,3.163219574292656,1058,843,1058,1901,215,3.9355836018191535,3.2144172777391784,7.150000879558332,4.440892098500626e-16,1048,856,9584,1048,1904,192,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 7, 9]",19,01279,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.9684431292155606,3.1665620435871125,1057,844,1057,1901,213,3.9353830285944245,3.214617850963908,7.150000879558332,0.0,1048,856,9584,1048,1904,192,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 2, 8, 9]",20,01289,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.9700622610060727,3.1649429117966004,1057,843,1057,1900,214,3.935362551119967,3.214638328438365,7.150000879558332,4.440892098500626e-16,1048,856,9584,1048,1904,192,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 3, 4, 5]",21,01345,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.973882700224836,3.161122472577836,1059,842,1059,1901,217,3.9403315674590367,3.209669312099295,7.150000879558332,4.440892098500626e-16,1050,855,9589,1050,1905,195,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[0, 1, 3, 4, 6]",22,01346,False,221.22162910704503,False,5.82245194202593,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,1024,3.97437617697937,3.1606289958233025,1059,842,1059,1901,217,3.9411662804825,3.208834599075832,7.150000879558332,4.440892098500626e-16,1050,855,9589,1050,1905,195,7.150000879558332,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,True,True,True,True,False,False,,,False
