phase,method,frame_id,stratum,role,status,reason,raw_ser,iterations,notes
retrospective_audit,nbldpc_v13_r3_code_v1,307,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1015625,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,308,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.15234375,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,321,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1171875,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,327,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.140625,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,328,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.08203125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,340,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1484375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,343,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.10546875,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,344,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1171875,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,350,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1171875,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,352,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,361,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.140625,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,363,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1328125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,404,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.109375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,422,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.09765625,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,437,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.09765625,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,441,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.12109375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,445,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,455,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.15625,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,456,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1171875,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,468,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1484375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,475,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.13671875,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,490,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.12109375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,492,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.16796875,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,500,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.14453125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,513,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.10546875,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,537,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1484375,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,544,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.12890625,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,545,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.11328125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,553,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.140625,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,561,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1484375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,562,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1328125,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,583,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.13671875,6,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,591,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,630,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1484375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,633,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.08984375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,635,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.18359375,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,640,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.140625,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,646,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.125,3,hook_equivalence=ok
