dataset_id,method,frame_idx,decode_success,verify_success,raw_frame_ser,raw_frame_ber,post_frame_ser,post_frame_ber,leak_bits_frame,iterations_used,runtime_ms,syndrome_bits_frame,verification_bits_frame,other_disclosures_bits,parity_fraction,h_rows,h_cols,h_density,mapping,llr_mode,bitplane_rate_mode,bitplane_raw_ber_list,bitplane_success_list,estimated_error_rate,osd_order,bp_method,max_iter,fallback_to_raw_bob,failure_reason,dimension,bin_width_ps,data_mode,frame_cap,param_hash
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,1,False,False,0.234375,0.0234375,0.234375,0.0234375,352.0,102,183.86700001428835,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0, 0.046875, 0.171875]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,1b68567774e87e2e
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,2,False,False,0.234375,0.0234375,0.234375,0.0234375,352.0,152,208.6297000059858,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.03125, 0.0625, 0.125]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,1b68567774e87e2e
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,3,False,False,0.21875,0.021875,0.21875,0.021875,352.0,153,240.31449999893084,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.046875, 0.015625, 0.046875, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.021875,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,1b68567774e87e2e
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,3,False,False,0.234375,0.0234375,0.234375,0.0234375,552.0,58,213.48120001493953,520,32,0,0.8,52,64,0.057992788461538464,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.03125, 0.0625, 0.125]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,b07a3943cf9048dc
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,3,False,False,0.234375,0.0234375,0.234375,0.0234375,552.0,58,254.9738000088837,520,32,0,0.8,52,64,0.057992788461538464,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.03125, 0.0625, 0.125]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,221e5a91339f6e44
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,0,False,False,0.21875,0.021875,0.21875,0.021875,462.0,104,541.9542999879923,430,32,0,0.67,43,64,0.06976744186046512,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.015625, 0.0, 0.0, 0.0, 0.03125, 0.078125, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.021875,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,f3f67ce02bdd88ce
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,1,False,False,0.25,0.025,0.25,0.025,462.0,56,208.90900000813417,430,32,0,0.67,43,64,0.06976744186046512,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.015625, 0.046875, 0.171875]","[True, True, True, True, True, True, True, True, True, True]",0.025,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,f3f67ce02bdd88ce
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,2,False,False,0.203125,0.0203125,0.203125,0.0203125,462.0,59,199.71139999688603,430,32,0,0.67,43,64,0.06976744186046512,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.03125, 0.03125, 0.015625, 0.015625, 0.0, 0.015625, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.0203125,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,f3f67ce02bdd88ce
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,0,False,False,0.28125,0.028125,0.28125,0.028125,462.0,61,528.8036999991164,430,32,0,0.67,43,64,0.06976744186046512,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.015625, 0.015625, 0.015625, 0.046875, 0.015625, 0.171875]","[True, True, True, True, True, True, True, True, True, True]",0.028125,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,f3f67ce02bdd88ce
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,1,False,False,0.234375,0.0234375,0.234375,0.0234375,462.0,58,196.4159000199288,430,32,0,0.67,43,64,0.06976744186046512,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0, 0.046875, 0.171875]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,f3f67ce02bdd88ce
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,2,False,False,0.234375,0.0234375,0.234375,0.0234375,462.0,105,197.80680001713336,430,32,0,0.67,43,64,0.06976744186046512,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.03125, 0.0625, 0.125]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,f3f67ce02bdd88ce
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,3,False,False,0.21875,0.021875,0.21875,0.021875,462.0,90,255.24830000358634,430,32,0,0.67,43,64,0.06976744186046512,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.046875, 0.015625, 0.046875, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.021875,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,f3f67ce02bdd88ce
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,0,False,False,0.28125,0.028125,0.28125,0.028125,352.0,108,568.4983999817632,320,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.015625, 0.015625, 0.015625, 0.046875, 0.015625, 0.171875]","[True, True, True, True, True, True, True, True, True, True]",0.028125,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,1,False,False,0.234375,0.0234375,0.234375,0.0234375,352.0,102,197.13580000097863,320,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0, 0.046875, 0.171875]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,2,False,False,0.234375,0.0234375,0.234375,0.0234375,352.0,152,203.6569999763742,320,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.03125, 0.0625, 0.125]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,3,False,False,0.21875,0.021875,0.21875,0.021875,352.0,153,236.84629998751916,320,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.046875, 0.015625, 0.046875, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.021875,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,1,False,False,0.234375,0.0234375,0.234375,0.0234375,552.0,54,222.35749999526888,520,32,0,0.8,52,64,0.057992788461538464,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0, 0.046875, 0.171875]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,b07a3943cf9048dc
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,0,False,False,0.21875,0.021875,0.21875,0.021875,352.0,106,563.8505000097211,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.015625, 0.0, 0.0, 0.0, 0.03125, 0.078125, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.021875,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,1b68567774e87e2e
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,1,False,False,0.25,0.025,0.25,0.025,352.0,60,203.14519997918978,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.015625, 0.046875, 0.171875]","[True, True, True, True, True, True, True, True, True, True]",0.025,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,1b68567774e87e2e
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,2,False,False,0.203125,0.0203125,0.203125,0.0203125,352.0,69,212.64419998624362,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.03125, 0.03125, 0.015625, 0.015625, 0.0, 0.015625, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.0203125,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,1b68567774e87e2e
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,3,False,False,0.234375,0.0234375,0.234375,0.0234375,352.0,104,282.08400000585243,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.03125, 0.0625, 0.125]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,1b68567774e87e2e
real_typeii_20db_d16_bw100_blk0,layered_ldpc_lite,0,False,False,0.265625,0.09765625,0.265625,0.09765625,160.0,200,95.84920000634156,128,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.0625, 0.0625, 0.140625, 0.125]","[True, True, True, True]",0.09765625,0,minimum_sum,50,True,candidate_failed_verification,16,100,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d16_bw100_blk0,layered_ldpc_lite,1,False,False,0.140625,0.0546875,0.140625,0.0546875,160.0,104,96.43890001461841,128,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.046875, 0.046875, 0.03125, 0.09375]","[True, True, True, True]",0.0546875,0,minimum_sum,50,True,candidate_failed_verification,16,100,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d16_bw100_blk0,layered_ldpc_lite,2,False,False,0.171875,0.04296875,0.171875,0.04296875,160.0,102,87.68019999843091,128,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.0, 0.015625, 0.03125, 0.125]","[True, True, True, True]",0.04296875,0,minimum_sum,50,True,candidate_failed_verification,16,100,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d16_bw100_blk0,layered_ldpc_lite,3,False,False,0.21875,0.0625,0.21875,0.0625,160.0,153,94.83059999183752,128,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.09375, 0.03125, 0.046875, 0.078125]","[True, True, True, True]",0.0625,0,minimum_sum,50,True,candidate_failed_verification,16,100,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d16_bw100_blk0,layered_ldpc_lite,0,False,False,0.265625,0.09765625,0.265625,0.09765625,160.0,200,99.43979998934083,128,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0625, 0.0625, 0.140625, 0.125]","[True, True, True, True]",0.09765625,0,minimum_sum,50,True,candidate_failed_verification,16,100,real_data,4,1b68567774e87e2e
real_typeii_20db_d16_bw100_blk0,layered_ldpc_lite,1,False,False,0.140625,0.0546875,0.140625,0.0546875,160.0,104,101.58180000144057,128,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.046875, 0.046875, 0.03125, 0.09375]","[True, True, True, True]",0.0546875,0,minimum_sum,50,True,candidate_failed_verification,16,100,real_data,4,1b68567774e87e2e
real_typeii_20db_d16_bw100_blk0,layered_ldpc_lite,2,False,False,0.171875,0.04296875,0.171875,0.04296875,160.0,102,101.53270000591874,128,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.015625, 0.03125, 0.125]","[True, True, True, True]",0.04296875,0,minimum_sum,50,True,candidate_failed_verification,16,100,real_data,4,1b68567774e87e2e
real_typeii_20db_d16_bw100_blk0,layered_ldpc_lite,3,False,False,0.21875,0.0625,0.21875,0.0625,160.0,153,95.67789998254739,128,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.09375, 0.03125, 0.046875, 0.078125]","[True, True, True, True]",0.0625,0,minimum_sum,50,True,candidate_failed_verification,16,100,real_data,4,1b68567774e87e2e
real_typeii_20db_d16_bw100_blk0,layered_ldpc_lite,0,False,False,0.265625,0.09765625,0.265625,0.09765625,204.0,200,111.79530000663362,172,32,0,0.67,43,64,0.06976744186046512,gray,hard,uniform,"[0.0625, 0.0625, 0.140625, 0.125]","[True, True, True, True]",0.09765625,0,minimum_sum,50,True,candidate_failed_verification,16,100,real_data,4,ec874e3fd7633e78
real_typeii_20db_d16_bw100_blk0,layered_ldpc_lite,2,False,False,0.171875,0.04296875,0.171875,0.04296875,204.0,53,78.06190001429059,172,32,0,0.67,43,64,0.06976744186046512,gray,hard,uniform,"[0.0, 0.015625, 0.03125, 0.125]","[True, True, True, True]",0.04296875,0,minimum_sum,50,True,candidate_failed_verification,16,100,real_data,4,ec874e3fd7633e78
real_typeii_20db_d16_bw100_blk0,layered_ldpc_lite,0,False,False,0.265625,0.09765625,0.265625,0.09765625,204.0,200,107.08580000209622,172,32,0,0.67,43,64,0.06976744186046512,gray,bsc_estimated,uniform,"[0.0625, 0.0625, 0.140625, 0.125]","[True, True, True, True]",0.09765625,0,minimum_sum,50,True,candidate_failed_verification,16,100,real_data,4,f3f67ce02bdd88ce
real_typeii_20db_d16_bw100_blk0,layered_ldpc_lite,1,False,False,0.140625,0.0546875,0.140625,0.0546875,204.0,57,76.50740002281964,172,32,0,0.67,43,64,0.06976744186046512,gray,bsc_estimated,uniform,"[0.046875, 0.046875, 0.03125, 0.09375]","[True, True, True, True]",0.0546875,0,minimum_sum,50,True,candidate_failed_verification,16,100,real_data,4,f3f67ce02bdd88ce
real_typeii_20db_d16_bw100_blk0,layered_ldpc_lite,2,False,False,0.171875,0.04296875,0.171875,0.04296875,204.0,53,90.17009998206049,172,32,0,0.67,43,64,0.06976744186046512,gray,bsc_estimated,uniform,"[0.0, 0.015625, 0.03125, 0.125]","[True, True, True, True]",0.04296875,0,minimum_sum,50,True,candidate_failed_verification,16,100,real_data,4,f3f67ce02bdd88ce
real_typeii_20db_d1024_bw200_blk0,layered_ldpc_lite,0,False,False,0.21875,0.021875,0.21875,0.021875,352.0,157,248.85380000341684,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.015625, 0.046875, 0.0625, 0.0625]","[True, True, True, True, True, True, True, True, True, True]",0.021875,0,minimum_sum,50,True,candidate_failed_verification,1024,200,real_data,4,1b68567774e87e2e
real_typeii_20db_d1024_bw200_blk0,layered_ldpc_lite,1,False,False,0.25,0.025,0.25,0.025,352.0,108,234.99979998450726,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.015625, 0.0, 0.015625, 0.03125, 0.03125, 0.15625]","[True, True, True, True, True, True, True, True, True, True]",0.025,0,minimum_sum,50,True,candidate_failed_verification,1024,200,real_data,4,1b68567774e87e2e
real_typeii_20db_d1024_bw200_blk0,layered_ldpc_lite,2,False,False,0.234375,0.0234375,0.234375,0.0234375,352.0,156,226.25310000148602,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.015625, 0.0, 0.015625, 0.015625, 0.0, 0.046875, 0.046875, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,200,real_data,4,1b68567774e87e2e
real_typeii_20db_d1024_bw200_blk0,layered_ldpc_lite,3,False,False,0.296875,0.0296875,0.296875,0.0296875,352.0,203,199.2727999750059,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.03125, 0.0625, 0.046875, 0.140625]","[True, True, True, True, True, True, True, True, True, True]",0.0296875,0,minimum_sum,50,True,candidate_failed_verification,1024,200,real_data,4,1b68567774e87e2e
real_typeii_20db_d1024_bw200_blk0,layered_ldpc_lite,0,False,False,0.21875,0.021875,0.21875,0.021875,352.0,157,271.9828000117559,320,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.015625, 0.046875, 0.0625, 0.0625]","[True, True, True, True, True, True, True, True, True, True]",0.021875,0,minimum_sum,50,True,candidate_failed_verification,1024,200,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d1024_bw200_blk0,layered_ldpc_lite,1,False,False,0.25,0.025,0.25,0.025,352.0,108,255.08200001786463,320,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.015625, 0.0, 0.015625, 0.03125, 0.03125, 0.15625]","[True, True, True, True, True, True, True, True, True, True]",0.025,0,minimum_sum,50,True,candidate_failed_verification,1024,200,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d1024_bw200_blk0,layered_ldpc_lite,2,False,False,0.234375,0.0234375,0.234375,0.0234375,352.0,156,225.76780000235885,320,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.0, 0.0, 0.015625, 0.0, 0.015625, 0.015625, 0.0, 0.046875, 0.046875, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,200,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d1024_bw200_blk0,layered_ldpc_lite,3,False,False,0.296875,0.0296875,0.296875,0.0296875,352.0,203,200.9556999837514,320,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.03125, 0.0625, 0.046875, 0.140625]","[True, True, True, True, True, True, True, True, True, True]",0.0296875,0,minimum_sum,50,True,candidate_failed_verification,1024,200,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d1024_bw200_blk0,layered_ldpc_lite,1,False,False,0.25,0.025,0.25,0.025,552.0,57,247.8337999782525,520,32,0,0.8,52,64,0.057992788461538464,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.015625, 0.0, 0.015625, 0.03125, 0.03125, 0.15625]","[True, True, True, True, True, True, True, True, True, True]",0.025,0,minimum_sum,50,True,candidate_failed_verification,1024,200,real_data,4,b07a3943cf9048dc
real_typeii_20db_d1024_bw200_blk0,layered_ldpc_lite,3,False,False,0.296875,0.0296875,0.296875,0.0296875,552.0,66,238.37279999861494,520,32,0,0.8,52,64,0.057992788461538464,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.03125, 0.0625, 0.046875, 0.140625]","[True, True, True, True, True, True, True, True, True, True]",0.0296875,0,minimum_sum,50,True,candidate_failed_verification,1024,200,real_data,4,b07a3943cf9048dc
real_typeii_20db_d1024_bw200_blk0,layered_ldpc_lite,1,False,False,0.25,0.025,0.25,0.025,552.0,57,251.7859999788925,520,32,0,0.8,52,64,0.057992788461538464,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.015625, 0.0, 0.015625, 0.03125, 0.03125, 0.15625]","[True, True, True, True, True, True, True, True, True, True]",0.025,0,minimum_sum,50,True,candidate_failed_verification,1024,200,real_data,4,221e5a91339f6e44
real_typeii_20db_d1024_bw200_blk0,layered_ldpc_lite,3,False,False,0.296875,0.0296875,0.296875,0.0296875,552.0,68,239.41839998587966,520,32,0,0.8,52,64,0.057992788461538464,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.03125, 0.0625, 0.046875, 0.140625]","[True, True, True, True, True, True, True, True, True, True]",0.0296875,0,minimum_sum,50,True,candidate_failed_verification,1024,200,real_data,4,221e5a91339f6e44
real_typeii_20db_d1024_bw200_blk0,layered_ldpc_lite,1,False,False,0.25,0.025,0.25,0.025,462.0,57,254.2593999824021,430,32,0,0.67,43,64,0.06976744186046512,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.015625, 0.0, 0.015625, 0.03125, 0.03125, 0.15625]","[True, True, True, True, True, True, True, True, True, True]",0.025,0,minimum_sum,50,True,candidate_failed_verification,1024,200,real_data,4,ec874e3fd7633e78
