lane,source,construction_seed,construction_seed_ordinal,block_seed,matrix_id,errors_initial,errors_final,exact_l2,syndrome_ok,wrong_codeword,iterations,status,runtime_s
lane_b,1M,382101,1,390103,lane_b_1M_s382101,274,79,false,false,false,30,converged_no_syndrome,1.8057007000315934
lane_b,1M,382101,1,390104,lane_b_1M_s382101,248,0,true,true,false,24,converged_exact,1.4415935999713838
lane_b,1M,382101,1,390105,lane_b_1M_s382101,258,0,true,true,false,11,converged_exact,0.6621179999783635
lane_b,1M,382102,2,390101,lane_b_1M_s382102,252,198,false,false,false,30,converged_no_syndrome,1.8280573000665754
lane_b,1M,382102,2,390102,lane_b_1M_s382102,258,77,false,false,false,30,converged_no_syndrome,1.7928802999667823
lane_b,1M,382102,2,390103,lane_b_1M_s382102,274,97,false,false,false,30,converged_no_syndrome,1.799146700068377
lane_b,1M,382102,2,390104,lane_b_1M_s382102,248,0,true,true,false,19,converged_exact,1.1348058000439778
lane_b,1M,382102,2,390105,lane_b_1M_s382102,258,0,true,true,false,23,converged_exact,1.3894903999753296
lane_b,1M,382103,3,390101,lane_b_1M_s382103,252,220,false,false,false,30,converged_no_syndrome,1.8573583000106737
lane_b,1M,382103,3,390102,lane_b_1M_s382103,258,0,true,true,false,12,converged_exact,0.719212899915874
lane_b,1M,382103,3,390103,lane_b_1M_s382103,274,88,false,false,false,30,converged_no_syndrome,1.789901899988763
lane_b,1M,382103,3,390104,lane_b_1M_s382103,248,3,false,true,true,14,converged_exact,0.8388545999769121
lane_b,1M,382103,3,390105,lane_b_1M_s382103,258,0,true,true,false,13,converged_exact,0.772014299989678
lane_b,1p5M,382201,1,390201,lane_b_1p5M_s382201,271,71,false,false,false,30,converged_no_syndrome,1.8040823999326676
lane_b,1p5M,382201,1,390202,lane_b_1p5M_s382201,262,0,true,true,false,13,converged_exact,0.7825914999702945
lane_b,1p5M,382201,1,390203,lane_b_1p5M_s382201,230,0,true,true,false,11,converged_exact,0.6654997000005096
lane_b,1p5M,382201,1,390204,lane_b_1p5M_s382201,262,4,false,false,false,30,converged_no_syndrome,1.794714199961163
lane_b,1p5M,382201,1,390205,lane_b_1p5M_s382201,240,0,true,true,false,7,converged_exact,0.41959679999854416
lane_b,1p5M,382202,2,390201,lane_b_1p5M_s382202,271,0,true,true,false,24,converged_exact,1.4298834999790415
lane_b,1p5M,382202,2,390202,lane_b_1p5M_s382202,262,0,true,true,false,16,converged_exact,0.9561233000131324
lane_b,1p5M,382202,2,390203,lane_b_1p5M_s382202,230,31,false,false,false,30,converged_no_syndrome,1.7950199999613687
lane_b,1p5M,382202,2,390204,lane_b_1p5M_s382202,262,0,true,true,false,19,converged_exact,1.1375838000094518
lane_b,1p5M,382202,2,390205,lane_b_1p5M_s382202,240,0,true,true,false,6,converged_exact,0.36088649998418987
lane_b,1p5M,382203,3,390201,lane_b_1p5M_s382203,271,0,true,true,false,15,converged_exact,0.90972180000972
lane_b,1p5M,382203,3,390202,lane_b_1p5M_s382203,262,0,true,true,false,15,converged_exact,0.9029282999690622
lane_b,1p5M,382203,3,390203,lane_b_1p5M_s382203,230,53,false,false,false,30,converged_no_syndrome,1.801916899974458
lane_b,1p5M,382203,3,390204,lane_b_1p5M_s382203,262,0,true,true,false,18,converged_exact,1.074126600055024
lane_b,1p5M,382203,3,390205,lane_b_1p5M_s382203,240,0,true,true,false,7,converged_exact,0.420211200020276
lane_b,2M,382301,1,390301,lane_b_2M_s382301,259,30,false,false,false,30,converged_no_syndrome,1.8095785999903455
lane_b,2M,382301,1,390302,lane_b_2M_s382301,265,0,true,true,false,9,converged_exact,0.5520424999995157
lane_b,2M,382301,1,390303,lane_b_2M_s382301,261,0,true,true,false,26,converged_exact,1.5743316999869421
lane_b,2M,382301,1,390304,lane_b_2M_s382301,252,0,true,true,false,6,converged_exact,0.35989930003415793
lane_b,2M,382301,1,390305,lane_b_2M_s382301,253,0,true,true,false,23,converged_exact,1.3837161000119522
lane_b,2M,382302,2,390301,lane_b_2M_s382302,259,0,true,true,false,10,converged_exact,0.596921999938786
lane_b,2M,382302,2,390302,lane_b_2M_s382302,265,0,true,true,false,12,converged_exact,0.7145705000730231
lane_b,2M,382302,2,390303,lane_b_2M_s382302,261,0,true,true,false,17,converged_exact,1.0194372999249026
lane_b,2M,382302,2,390304,lane_b_2M_s382302,252,0,true,true,false,13,converged_exact,0.7794987999368459
lane_b,2M,382302,2,390305,lane_b_2M_s382302,253,0,true,true,false,12,converged_exact,0.7183165999595076
lane_b,2M,382303,3,390301,lane_b_2M_s382303,259,0,true,true,false,18,converged_exact,1.0823969000484794
lane_b,2M,382303,3,390302,lane_b_2M_s382303,265,0,true,true,false,12,converged_exact,0.7256832000566646
lane_b,2M,382303,3,390303,lane_b_2M_s382303,261,0,true,true,false,12,converged_exact,0.7244727000361308
lane_b,2M,382303,3,390304,lane_b_2M_s382303,252,59,false,false,false,30,converged_no_syndrome,1.9440238999668509
lane_b,2M,382303,3,390305,lane_b_2M_s382303,253,0,true,true,false,16,converged_exact,1.0206518999766558
