source,seed,method,graph_id,decoder_schedule,redundancy_stage,exact_l2,syndrome_ok,tag_ok,false_accept,errors_initial,errors_final,iterations,runtime_s,syndrome_leakage_bits,cumulative_leakage_bits,status
1p5M,350204,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,284,273,30,3.509378,0,1024,converged_no_syndrome
1p5M,350205,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,237,223,30,3.544058,0,1024,converged_no_syndrome
2M,350301,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,262,234,30,3.573656,0,1024,converged_no_syndrome
2M,350302,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,272,261,30,3.547181,0,1024,converged_no_syndrome
2M,350303,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,235,211,30,3.551215,0,1024,converged_no_syndrome
2M,350304,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,270,260,30,3.53288,0,1024,converged_no_syndrome
2M,350305,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,269,251,30,3.555675,0,1024,converged_no_syndrome
1M,350101,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,266,242,30,3.535049,0,1024,converged_no_syndrome
1M,350102,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,250,244,30,3.542842,0,1024,converged_no_syndrome
1M,350103,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,224,204,30,3.542089,0,1024,converged_no_syndrome
1M,350104,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,249,227,30,3.529271,0,1024,converged_no_syndrome
1M,350105,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,234,207,30,3.535148,0,1024,converged_no_syndrome
1p5M,350201,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,257,232,30,3.516455,0,1024,converged_no_syndrome
1p5M,350202,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,255,246,30,3.528448,0,1024,converged_no_syndrome
1p5M,350203,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,289,270,30,3.550202,0,1024,converged_no_syndrome
1p5M,350204,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,284,273,30,3.519127,0,1024,converged_no_syndrome
1p5M,350205,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,237,223,30,3.561727,0,1024,converged_no_syndrome
2M,350301,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,262,234,30,3.854486,0,1024,converged_no_syndrome
2M,350302,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,272,261,30,4.140087,0,1024,converged_no_syndrome
2M,350303,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,235,211,30,3.611037,0,1024,converged_no_syndrome
2M,350304,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,270,260,30,3.575819,0,1024,converged_no_syndrome
