dataset_id,dimension,bin_width_ps,frame_cap,frames_used_actual,method,method_status,backend_status,parity_fraction,max_iter,osd_order,bp_method,mapping,llr_mode,bitplane_rate_mode,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,post_ir_ser,leak_EC_actual_bits,leak_EC_per_input_bit,beta_eff_empirical,runtime_s,notes,param_hash,real_ir_success,success_classification
real_typeii_20db_d16_bw100_blk0,16,100,4,4,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,0.9,50,0,minimum_sum,gray,hard,uniform,4,4,0,0,1.0,0.19921875,0.0,1056.0,1.03125,0.0,0.6740967000077944,backend=ldpc.BpOsdDecoder; parity_fraction=0.9; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=hard; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,9670a15685aa444a,True,real_ir_success
real_typeii_20db_d16_bw100_blk0,16,100,4,4,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,0.9,50,0,minimum_sum,gray,bsc_estimated,uniform,4,4,0,0,1.0,0.19921875,0.0,1056.0,1.03125,0.0,0.6830063999805134,backend=ldpc.BpOsdDecoder; parity_fraction=0.9; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,e8db1e33326bc16a,True,real_ir_success
real_typeii_20db_d16_bw100_blk0,16,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.9,50,0,minimum_sum,gray,hard,per_bitplane_raw_ber,4,0,4,0,0.0,0.19921875,0.19921875,575.0,0.5615234375,0.0,0.6844487999915145,backend=ldpc.BpOsdDecoder; parity_fraction=0.9; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=hard; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.19921875; post_ir_ser=0.19921875,a299c9feec31c721,False,decode_failed
real_typeii_20db_d16_bw100_blk0,16,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,1.0,50,0,minimum_sum,gray,hard,per_bitplane_raw_ber,4,0,4,0,0.0,0.19921875,0.19921875,575.0,0.5615234375,0.0,0.6918194000027142,backend=ldpc.BpOsdDecoder; parity_fraction=1.0; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=hard; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.19921875; post_ir_ser=0.19921875,192fec5285ccad3d,False,decode_failed
real_typeii_20db_d16_bw100_blk0,16,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.9,50,0,minimum_sum,gray,bsc_estimated,per_bitplane_raw_ber,4,0,4,0,0.0,0.19921875,0.19921875,575.0,0.5615234375,0.0,0.6916516999772284,backend=ldpc.BpOsdDecoder; parity_fraction=0.9; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.19921875; post_ir_ser=0.19921875,d89811eb3f0d04d6,False,decode_failed
real_typeii_20db_d16_bw100_blk0,16,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.9,20,0,minimum_sum,gray,bsc_estimated,per_bitplane_raw_ber,4,0,4,0,0.0,0.19921875,0.19921875,575.0,0.5615234375,0.0,0.6999076000065543,backend=ldpc.BpOsdDecoder; parity_fraction=0.9; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.19921875; post_ir_ser=0.19921875,50c8302d2c7c4b52,False,decode_failed
real_typeii_20db_d16_bw100_blk0,16,100,4,4,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,0.8,20,0,minimum_sum,gray,hard,uniform,4,3,1,0,0.75,0.19921875,0.0546875,960.0,0.9375,0.0,0.4025351000018418,backend=ldpc.BpOsdDecoder; parity_fraction=0.8; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=hard; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,ab197caf6be0e885,False,decode_improved_but_unverified
real_typeii_20db_d16_bw100_blk0,16,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.8,50,0,minimum_sum,gray,bsc_estimated,per_bitplane_raw_ber,4,0,4,0,0.0,0.19921875,0.19921875,575.0,0.5615234375,0.0,0.3933701000059955,backend=ldpc.BpOsdDecoder; parity_fraction=0.8; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.19921875; post_ir_ser=0.19921875,f15146d3c2351083,False,decode_failed
real_typeii_20db_d16_bw100_blk0,16,100,4,4,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,0.8,20,0,minimum_sum,gray,bsc_estimated,uniform,4,4,0,0,1.0,0.19921875,0.0,960.0,0.9375,0.0,0.4234770000039134,backend=ldpc.BpOsdDecoder; parity_fraction=0.8; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,4a7d25970fa1d610,True,real_ir_success
real_typeii_20db_d16_bw100_blk0,16,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.8,50,0,minimum_sum,gray,hard,per_bitplane_raw_ber,4,0,4,0,0.0,0.19921875,0.19921875,575.0,0.5615234375,0.0,0.40204429998993874,backend=ldpc.BpOsdDecoder; parity_fraction=0.8; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=hard; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.19921875; post_ir_ser=0.19921875,a5049c9574e31a3f,False,decode_failed
real_typeii_20db_d16_bw100_blk0,16,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.8,20,0,minimum_sum,gray,bsc_estimated,per_bitplane_raw_ber,4,0,4,0,0.0,0.19921875,0.19921875,575.0,0.5615234375,0.0,0.4337597999838181,backend=ldpc.BpOsdDecoder; parity_fraction=0.8; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.19921875; post_ir_ser=0.19921875,3a8da776864f8ca1,False,decode_failed
real_typeii_20db_d16_bw100_blk0,16,100,4,4,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,0.8,50,0,minimum_sum,gray,bsc_estimated,uniform,4,2,2,0,0.5,0.19921875,0.09765625,960.0,0.9375,0.0,0.4211166999884881,backend=ldpc.BpOsdDecoder; parity_fraction=0.8; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,221e5a91339f6e44,False,decode_improved_but_unverified
