source_tag,frame_id,max_iter,status,iterations,exact_correct,final_entropy
type2_2M_20260121_183657,2032,200,decode_failed,200,False,0.2372283666529122
type2_2M_20260121_183657,2063,200,decode_failed,200,False,0.08042819683996627
type2_2M_20260121_183657,2141,200,decode_failed,200,False,0.05821152838873311
type2_2M_20260121_183657,2161,200,decode_failed,200,False,0.08121164333701862
type2_2M_20260121_183657,2266,200,decode_failed,200,False,0.10192933348238045
type2_2M_20260121_183657,2278,200,decode_failed,200,False,0.08274403104824238
type2_1p5M_20260121_183806,1840,200,decode_failed,200,False,0.05166246373599536
type2_1p5M_20260121_183806,1890,200,decode_failed,200,False,0.025899263249979324
type2_1M_20260121_184040,1343,200,decode_failed,200,False,0.09465237908993213
type2_1M_20260121_184040,1487,200,decode_failed,200,False,0.0986438417334336
type2_2M_20260121_183657,2303,200,decode_failed,200,False,0.09024796077626139
type2_2M_20260121_183657,2305,200,decode_failed,200,False,0.06740440124525542
type2_2M_20260121_183657,2314,200,decode_failed,200,False,0.07436141691610211
type2_2M_20260121_183657,2348,200,decode_failed,200,False,0.04074457496357779
type2_2M_20260121_183657,2377,200,decode_failed,200,False,0.05174297045554185
type2_2M_20260121_183657,2421,200,decode_failed,200,False,0.03415130604000898
type2_2M_20260121_183657,2447,200,decode_failed,200,False,0.06874392294307646
type2_2M_20260121_183657,2474,200,decode_failed,200,False,0.044124558764166884
type2_2M_20260121_183657,2584,200,decode_failed,200,False,0.05343643391569143
type2_2M_20260121_183657,2601,200,decode_failed,200,False,0.035072121730663236
type2_2M_20260121_183657,2699,200,decode_failed,200,False,0.06548102067060978
type2_1p5M_20260121_183806,2286,200,decode_failed,200,False,0.07836731959861759
type2_1p5M_20260121_183806,2363,200,decode_failed,200,False,0.09161475628906121
type2_1p5M_20260121_183806,2388,200,decode_failed,200,False,0.0995344863506024
type2_1M_20260121_184040,1556,200,decode_failed,200,False,0.10606211421661955
type2_1M_20260121_184040,1557,200,decode_failed,200,False,0.13560791843969078
type2_1M_20260121_184040,1622,200,decode_failed,200,False,0.016257972436468742
type2_1M_20260121_184040,1639,200,decode_failed,200,False,0.10444132667355341
type2_2M_20260121_183657,2746,200,decode_failed,200,False,0.07120326671148963
type2_2M_20260121_183657,2770,200,decode_failed,200,False,0.09479609166994261
type2_2M_20260121_183657,2880,200,decode_failed,200,False,0.1123590753186117
type2_2M_20260121_183657,2924,200,decode_failed,200,False,0.09313402608399837
type2_2M_20260121_183657,3018,200,decode_failed,200,False,0.09024741476328588
type2_2M_20260121_183657,3126,200,decode_failed,200,False,0.11597868693485602
type2_2M_20260121_183657,3156,200,decode_failed,200,False,0.051852488693527876
type2_1p5M_20260121_183806,2434,200,decode_failed,200,False,0.03055386724623826
type2_1p5M_20260121_183806,2516,200,decode_failed,200,False,0.07241773699229899
type2_1p5M_20260121_183806,2521,200,decode_failed,200,False,0.07106951018972427
type2_1p5M_20260121_183806,2559,200,decode_failed,200,False,0.0379252499499636
type2_1p5M_20260121_183806,2726,200,decode_failed,200,False,0.04468123767084074
type2_1p5M_20260121_183806,2758,200,decode_failed,200,False,0.09534202471371138
type2_1M_20260121_184040,1787,200,decode_failed,200,False,0.04385892893840674
type2_1M_20260121_184040,1821,200,decode_failed,200,False,0.09556702706256744
type2_1M_20260121_184040,1915,200,decode_failed,200,False,0.10416784650538488
type2_1M_20260121_184040,1934,200,decode_failed,200,False,0.108670777265054
type2_1M_20260121_184040,1991,200,decode_failed,200,False,0.14678625040446563
type2_2M_20260121_183657,3198,200,decode_failed,200,False,0.08534457466281356
type2_2M_20260121_183657,3292,200,decode_failed,200,False,0.055653703619266914
type2_2M_20260121_183657,3405,200,decode_failed,200,False,0.0793210084740078
type2_2M_20260121_183657,3417,200,decode_failed,200,False,0.06341929012501364
type2_2M_20260121_183657,3543,200,decode_failed,200,False,0.03529675949022921
type2_2M_20260121_183657,3580,200,decode_failed,200,False,0.0015025350401234793
type2_2M_20260121_183657,3605,200,decode_failed,200,False,0.07520592338273019
type2_2M_20260121_183657,3606,200,decode_failed,200,False,0.03151412184074606
