source_tag,frame_id,raw_ser,bitplane_mismatch,max_bitplane_mismatch,min_bitplane_mismatch,lsb_mismatch,msb_mismatch,final_entropy,stagnation_iterations,oscillation_detected
type2_1M_20260121_184040,1821,0.27734375,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.0, 0.01171875, 0.03125, 0.0703125, 0.16015625]",0.16015625,0.0,0.16015625,0.0,0.06469761413094831,66,True
type2_1M_20260121_184040,1915,0.23828125,"[0.0, 0.0, 0.0, 0.00390625, 0.0, 0.0, 0.02734375, 0.046875, 0.05078125, 0.109375]",0.109375,0.0,0.109375,0.0,0.09383684897049305,82,True
type2_1M_20260121_184040,1934,0.25,"[0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0078125, 0.00390625, 0.0234375, 0.078125, 0.12890625]",0.12890625,0.0,0.12890625,0.0,0.1081649154737689,64,True
type2_1M_20260121_184040,1991,0.25390625,"[0.00390625, 0.0, 0.0, 0.0, 0.00390625, 0.015625, 0.015625, 0.015625, 0.0546875, 0.14453125]",0.14453125,0.0,0.14453125,0.00390625,0.12125863630830436,58,False
type2_1p5M_20260121_183806,94,0.27734375,"[0.0, 0.0, 0.0, 0.00390625, 0.01171875, 0.00390625, 0.0078125, 0.046875, 0.09375, 0.109375]",0.109375,0.0,0.109375,0.0,0.07805023719397283,53,False
type2_1p5M_20260121_183806,116,0.296875,"[0.0, 0.0, 0.00390625, 0.0, 0.00390625, 0.0078125, 0.03125, 0.01953125, 0.11328125, 0.1171875]",0.1171875,0.0,0.1171875,0.0,0.04360205301587259,59,True
type2_1p5M_20260121_183806,155,0.296875,"[0.0, 0.0, 0.0, 0.00390625, 0.0078125, 0.01171875, 0.01953125, 0.03515625, 0.078125, 0.140625]",0.140625,0.0,0.140625,0.0,0.18596074502240978,51,False
type2_1p5M_20260121_183806,314,0.25,"[0.0, 0.0, 0.0, 0.0, 0.01171875, 0.00390625, 0.02734375, 0.015625, 0.05859375, 0.1328125]",0.1328125,0.0,0.1328125,0.0,0.0879422505797153,66,False
type2_1p5M_20260121_183806,326,0.28125,"[0.0, 0.0, 0.00390625, 0.0, 0.0, 0.01171875, 0.01953125, 0.03125, 0.0625, 0.15234375]",0.15234375,0.0,0.15234375,0.0,0.07982618789667609,54,True
type2_1p5M_20260121_183806,423,0.26171875,"[0.0, 0.0, 0.0, 0.00390625, 0.0, 0.01171875, 0.0234375, 0.05078125, 0.0546875, 0.1171875]",0.1171875,0.0,0.1171875,0.0,0.045958043997214384,46,False
type2_1p5M_20260121_183806,457,0.25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.01171875, 0.015625, 0.08203125, 0.125]",0.125,0.0,0.125,0.0,0.08340037752729645,93,False
type2_1p5M_20260121_183806,527,0.28515625,"[0.0, 0.0, 0.00390625, 0.0, 0.00390625, 0.00390625, 0.0234375, 0.0390625, 0.09375, 0.1171875]",0.1171875,0.0,0.1171875,0.0,0.13784449716017355,53,True
type2_1p5M_20260121_183806,539,0.25,"[0.0, 0.0, 0.00390625, 0.0, 0.00390625, 0.0, 0.01171875, 0.015625, 0.06640625, 0.1484375]",0.1484375,0.0,0.1484375,0.0,0.05020182493721252,53,False
