call_idx,f,seed,condition,layer,rows,n,exact,syndrome_ok,iterations,status,finite,symbol_errors,unsatisfied_checks,wall_s,rss_bytes,belief_max_prob,belief_mean_true_p,belief_mean_entropy,beliefs_conditioned,current_belief_label
29,1.0,2026091307,L1_MARGINAL,L1,49,64,False,False,90,ok,True,41,42,0.37796021399844903,105172992,0.7293834248913773,0.1544596802957134,4.021030307423551,True,CHECK_UPDATED_CURRENT_BELIEF
30,1.0,2026091307,L1_ORACLE_U2,L1,49,64,True,True,4,ok,True,0,0,0.01714100800018059,105172992,1.0,0.975996645069818,0.1534719875222862,True,CHECK_UPDATED_CURRENT_BELIEF
31,1.0,2026091307,L2_MARGINAL,L2,43,64,False,False,90,ok,True,40,38,0.3296899390006729,105172992,0.9897830553004863,0.21067033984897382,3.807696534492173,True,CHECK_UPDATED_CURRENT_BELIEF
32,1.0,2026091307,L2_ORACLE_U1,L2,43,64,False,False,90,ok,True,8,3,0.32310079200033215,105172992,1.0,0.8616068938327084,0.5264242574140954,True,CHECK_UPDATED_CURRENT_BELIEF
33,1.0,2026091308,L1_MARGINAL,L1,49,64,False,False,90,ok,True,47,38,0.3569074639999599,105172992,0.6331376795900266,0.12337946901244326,3.919471864808469,True,CHECK_UPDATED_CURRENT_BELIEF
34,1.0,2026091308,L1_ORACLE_U2,L1,49,64,False,False,90,ok,True,10,8,0.36924849999923026,105172992,1.0,0.8296341613230893,0.4454955848171572,True,CHECK_UPDATED_CURRENT_BELIEF
35,1.0,2026091308,L2_MARGINAL,L2,43,64,False,False,90,ok,True,47,35,0.3150446830004512,105172992,0.6563396140416824,0.12466239505086743,4.089308999146057,True,CHECK_UPDATED_CURRENT_BELIEF
36,1.0,2026091308,L2_ORACLE_U1,L2,43,64,False,False,90,ok,True,24,11,0.31483226000273135,105172992,0.999999998396059,0.5479108283233636,2.016518305777738,True,CHECK_UPDATED_CURRENT_BELIEF
37,1.0,2026091309,L1_MARGINAL,L1,49,64,False,False,90,ok,True,41,39,0.3564840289982385,105172992,0.5477046766712638,0.15421834277215107,4.080413374282421,True,CHECK_UPDATED_CURRENT_BELIEF
38,1.0,2026091309,L1_ORACLE_U2,L1,49,64,True,True,3,ok,True,0,0,0.01162696899700677,105172992,0.9999999999998268,0.9243361396012945,0.44651550297127945,True,CHECK_UPDATED_CURRENT_BELIEF
39,1.0,2026091309,L2_MARGINAL,L2,43,64,False,False,90,ok,True,45,39,0.3132609179992869,105172992,0.5371320952144361,0.12150965394894381,4.275102782569837,True,CHECK_UPDATED_CURRENT_BELIEF
40,1.0,2026091309,L2_ORACLE_U1,L2,43,64,False,False,90,ok,True,12,6,0.31535163200169336,105172992,0.9999999999551621,0.7267974716279912,1.1937123762822142,True,CHECK_UPDATED_CURRENT_BELIEF
41,1.0,2026091310,L1_MARGINAL,L1,49,64,False,False,90,ok,True,34,33,0.3565070080003352,105172992,0.9999604202354084,0.34132298521279847,3.1655830166389958,True,CHECK_UPDATED_CURRENT_BELIEF
42,1.0,2026091310,L1_ORACLE_U2,L1,49,64,True,True,8,ok,True,0,0,0.032607036002445966,105172992,1.0,0.9647825901945146,0.17389009928674576,True,CHECK_UPDATED_CURRENT_BELIEF
43,1.0,2026091310,L2_MARGINAL,L2,43,64,False,False,90,ok,True,46,33,0.31246611500318977,105172992,0.5985932388965193,0.13058974290055275,3.975343436067555,True,CHECK_UPDATED_CURRENT_BELIEF
44,1.0,2026091310,L2_ORACLE_U1,L2,43,64,False,False,90,ok,True,19,3,0.3116312900019693,105172992,0.9999999971396918,0.6645824136695151,0.8755715810124528,True,CHECK_UPDATED_CURRENT_BELIEF
45,1.0,2026091311,L1_MARGINAL,L1,49,64,False,False,90,ok,True,35,18,0.35859250300200074,105172992,0.9997589178527626,0.42217507647933483,2.254996044020982,True,CHECK_UPDATED_CURRENT_BELIEF
46,1.0,2026091311,L1_ORACLE_U2,L1,49,64,True,True,10,ok,True,0,0,0.040110862002620706,105172992,1.0,0.9999986327122614,2.5177327972934485e-05,True,CHECK_UPDATED_CURRENT_BELIEF
47,1.0,2026091311,L2_MARGINAL,L2,43,64,False,False,90,ok,True,43,39,0.31182177899972885,105172992,0.5558352242222752,0.11864658564245203,4.205026395969939,True,CHECK_UPDATED_CURRENT_BELIEF
48,1.0,2026091311,L2_ORACLE_U1,L2,43,64,False,False,90,ok,True,9,6,0.31543746500028647,105172992,1.0,0.7505328259223134,1.1053285037838205,True,CHECK_UPDATED_CURRENT_BELIEF
49,1.0,2026091312,L1_MARGINAL,L1,49,64,False,False,90,ok,True,46,42,0.3661455100009334,105172992,0.5568888703245005,0.13593296404761399,4.072114676635795,True,CHECK_UPDATED_CURRENT_BELIEF
50,1.0,2026091312,L1_ORACLE_U2,L1,49,64,True,True,3,ok,True,0,0,0.011873168998135952,105172992,0.9999999406300655,0.9414762839387452,0.27529567057160437,True,CHECK_UPDATED_CURRENT_BELIEF
51,1.0,2026091312,L2_MARGINAL,L2,43,64,False,False,90,ok,True,43,28,0.3166525390006427,105172992,0.9809273979684963,0.19911950451337992,3.471866327736559,True,CHECK_UPDATED_CURRENT_BELIEF
52,1.0,2026091312,L2_ORACLE_U1,L2,43,64,False,False,90,ok,True,20,8,0.3174101119984698,105172992,0.9999999984905601,0.6337558688590776,1.5387834331703159,True,CHECK_UPDATED_CURRENT_BELIEF
53,1.0,2026091313,L1_MARGINAL,L1,49,64,False,False,90,ok,True,42,33,0.35886701199706295,105172992,0.8663696424101344,0.21254776862877536,3.7032623768812147,True,CHECK_UPDATED_CURRENT_BELIEF
54,1.0,2026091313,L1_ORACLE_U2,L1,49,64,True,True,3,ok,True,0,0,0.012044211998727405,105172992,0.9999999999552502,0.9535422273729783,0.28261759665999714,True,CHECK_UPDATED_CURRENT_BELIEF
55,1.0,2026091313,L2_MARGINAL,L2,43,64,False,False,90,ok,True,42,37,0.31766413600053056,105172992,0.5170588707552851,0.1308619120664034,4.189320029146031,True,CHECK_UPDATED_CURRENT_BELIEF
56,1.0,2026091313,L2_ORACLE_U1,L2,43,64,False,False,90,ok,True,18,4,0.3132783869987179,105172992,0.9999999999988962,0.6963826081901446,0.8269263782459302,True,CHECK_UPDATED_CURRENT_BELIEF
57,1.0,2026091314,L1_MARGINAL,L1,49,64,False,False,90,ok,True,46,46,0.35467338399757864,105172992,0.4386070229028751,0.09615521358281942,4.282818440691361,True,CHECK_UPDATED_CURRENT_BELIEF
58,1.0,2026091314,L1_ORACLE_U2,L1,49,64,True,True,8,ok,True,0,0,0.03200180000203545,105172992,1.0,0.9140370427581832,0.5113804545293197,True,CHECK_UPDATED_CURRENT_BELIEF
59,1.0,2026091314,L2_MARGINAL,L2,43,64,False,False,90,ok,True,47,39,0.3161474599983194,105172992,0.569602331105934,0.09459595446465904,4.1676608551702605,True,CHECK_UPDATED_CURRENT_BELIEF
