frame_id,status,exact_correct,syndrome_ok,postprocess_used,iterations,decoder_status,runtime_s,syndrome_symbols,syndrome_bits
0,exact_correct,True,True,False,3,success,1.312,41,410
1,exact_mismatch,False,True,True,10,max_iter_reached,4.391,41,410
2,exact_correct,True,True,False,5,success,2.25,41,410
3,exact_mismatch,False,True,True,10,max_iter_reached,4.187,41,410
4,exact_correct,True,True,False,4,success,1.562,41,410
5,exact_mismatch,False,True,True,10,max_iter_reached,4.016,41,410
6,exact_mismatch,False,True,True,10,max_iter_reached,4.219,41,410
7,exact_mismatch,False,True,True,10,max_iter_reached,4.907,41,410
