source,seed,method,graph_id,decoder_schedule,redundancy_stage,exact_l2,syndrome_ok,tag_ok,false_accept,errors_initial,errors_final,iterations,runtime_s,syndrome_leakage_bits,cumulative_leakage_bits,status
1M,350101,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,266,185,30,1.847515,0,984,converged_no_syndrome
1M,350102,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,250,163,30,1.83295,0,984,converged_no_syndrome
1M,350103,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,224,152,30,1.847489,0,984,converged_no_syndrome
1M,350104,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,249,179,30,1.847287,0,984,converged_no_syndrome
1M,350105,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,234,165,30,1.841173,0,984,converged_no_syndrome
1p5M,350201,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,257,179,30,1.923397,0,1014,converged_no_syndrome
1p5M,350202,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,255,162,30,2.009213,0,1014,converged_no_syndrome
1p5M,350203,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,289,199,30,1.849752,0,1014,converged_no_syndrome
1p5M,350204,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,284,204,30,1.865205,0,1014,converged_no_syndrome
1p5M,350205,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,237,148,30,1.850724,0,1014,converged_no_syndrome
2M,350301,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,262,183,30,1.845293,0,1024,converged_no_syndrome
2M,350302,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,272,195,30,1.847184,0,1024,converged_no_syndrome
2M,350303,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,235,162,30,1.889039,0,1024,converged_no_syndrome
2M,350304,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,270,172,30,1.886324,0,1024,converged_no_syndrome
2M,350305,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,269,191,30,1.883178,0,1024,converged_no_syndrome
1M,350101,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,266,185,30,1.903837,0,984,converged_no_syndrome
1M,350102,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,250,163,30,1.935647,0,984,converged_no_syndrome
1M,350103,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,224,152,30,1.892796,0,984,converged_no_syndrome
1M,350104,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,249,179,30,1.888911,0,984,converged_no_syndrome
1M,350105,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,234,165,30,1.860065,0,984,converged_no_syndrome
1p5M,350201,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,257,179,30,1.875931,0,1014,converged_no_syndrome
1p5M,350202,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,255,162,30,1.874049,0,1014,converged_no_syndrome
1p5M,350203,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,289,199,30,1.872333,0,1014,converged_no_syndrome
1p5M,350204,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,284,204,30,1.857616,0,1014,converged_no_syndrome
1p5M,350205,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,237,148,30,1.855304,0,1014,converged_no_syndrome
2M,350301,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,262,183,30,1.873502,0,1024,converged_no_syndrome
2M,350302,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,272,195,30,1.873487,0,1024,converged_no_syndrome
2M,350303,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,235,162,30,1.879539,0,1024,converged_no_syndrome
2M,350304,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,270,172,30,1.860976,0,1024,converged_no_syndrome
2M,350305,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,269,191,30,1.875006,0,1024,converged_no_syndrome
1M,350101,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,266,185,30,2.553331,0,984,converged_no_syndrome
1M,350102,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,250,163,30,2.553725,0,984,converged_no_syndrome
1M,350103,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,224,152,30,2.554309,0,984,converged_no_syndrome
