split,method,config_id,config_json,attempted_frames,verified_successes,failed_frames,same_method_total_leak_bits,runtime_s,method_status,leakage_comparison_note
confirmation,cascade_lite,d4ddedc4cda55b9c,"{""block_size_schedule"": [8, 16, 32, 64], ""mapping"": ""gray"", ""num_passes"": 6, ""permutation_mode"": ""seeded_random"", ""seed"": 0, ""verify_mode"": ""crc32""}",60,60,0,22801.0,0.08190689992625266,ok,method-specific disclosure accounting; not cross-method ranked
confirmation,layered_ldpc_lite,aba3831a00b29f3a,"{""bitplane_rate_mode"": ""uniform"", ""bp_method"": ""minimum_sum"", ""column_weight"": 3, ""ldpc_seed"": 20260428, ""llr_mode"": ""empirical_bitplane"", ""mapping"": ""gray"", ""max_iter"": 50, ""osd_order"": 0, ""parity_fraction"": 0.67}",60,13,47,27720.0,0.4587042999919504,ok,method-specific disclosure accounting; not cross-method ranked
