split,locked_frame_key,dataset_id,frame_id,method,config_id,decode_success,verify_success,verified_success,frame_status,raw_frame_ser,raw_frame_ber,post_frame_ser,leak_bits_frame,runtime_ms,method_status,config_json,run_elapsed_s
confirmation,real_typeii_20db_d1024_bw180_blk0:122,real_typeii_20db_d1024_bw180_blk0,122,cascade_lite,d4ddedc4cda55b9c,True,True,True,verified_success,0.203125,0.0203125,0.0,371.0,1.3821999309584498,ok,"{""block_size_schedule"": [8, 16, 32, 64], ""mapping"": ""gray"", ""num_passes"": 6, ""permutation_mode"": ""seeded_random"", ""seed"": 0, ""verify_mode"": ""crc32""}",2.7179999999934807
confirmation,real_typeii_20db_d1024_bw180_blk0:139,real_typeii_20db_d1024_bw180_blk0,139,cascade_lite,d4ddedc4cda55b9c,True,True,True,verified_success,0.25,0.025,0.0,382.0,1.5333000337705016,ok,"{""block_size_schedule"": [8, 16, 32, 64], ""mapping"": ""gray"", ""num_passes"": 6, ""permutation_mode"": ""seeded_random"", ""seed"": 0, ""verify_mode"": ""crc32""}",2.7179999999934807
confirmation,real_typeii_20db_d1024_bw180_blk0:146,real_typeii_20db_d1024_bw180_blk0,146,cascade_lite,d4ddedc4cda55b9c,True,True,True,verified_success,0.28125,0.028125,0.0,391.0,1.7209999496117234,ok,"{""block_size_schedule"": [8, 16, 32, 64], ""mapping"": ""gray"", ""num_passes"": 6, ""permutation_mode"": ""seeded_random"", ""seed"": 0, ""verify_mode"": ""crc32""}",2.7179999999934807
confirmation,real_typeii_20db_d1024_bw180_blk0:151,real_typeii_20db_d1024_bw180_blk0,151,cascade_lite,d4ddedc4cda55b9c,True,True,True,verified_success,0.21875,0.021875,0.0,376.0,1.4882999239489436,ok,"{""block_size_schedule"": [8, 16, 32, 64], ""mapping"": ""gray"", ""num_passes"": 6, ""permutation_mode"": ""seeded_random"", ""seed"": 0, ""verify_mode"": ""crc32""}",2.7179999999934807
confirmation,real_typeii_20db_d1024_bw180_blk0:157,real_typeii_20db_d1024_bw180_blk0,157,cascade_lite,d4ddedc4cda55b9c,True,True,True,verified_success,0.203125,0.0203125,0.0,373.0,1.4271000400185585,ok,"{""block_size_schedule"": [8, 16, 32, 64], ""mapping"": ""gray"", ""num_passes"": 6, ""permutation_mode"": ""seeded_random"", ""seed"": 0, ""verify_mode"": ""crc32""}",2.7179999999934807
confirmation,real_typeii_20db_d1024_bw180_blk0:162,real_typeii_20db_d1024_bw180_blk0,162,cascade_lite,d4ddedc4cda55b9c,True,True,True,verified_success,0.25,0.025,0.0,380.0,1.5379999531432986,ok,"{""block_size_schedule"": [8, 16, 32, 64], ""mapping"": ""gray"", ""num_passes"": 6, ""permutation_mode"": ""seeded_random"", ""seed"": 0, ""verify_mode"": ""crc32""}",2.7179999999934807
confirmation,real_typeii_20db_d1024_bw180_blk0:168,real_typeii_20db_d1024_bw180_blk0,168,cascade_lite,d4ddedc4cda55b9c,True,True,True,verified_success,0.296875,0.0296875,0.0,393.0,1.7629999201744795,ok,"{""block_size_schedule"": [8, 16, 32, 64], ""mapping"": ""gray"", ""num_passes"": 6, ""permutation_mode"": ""seeded_random"", ""seed"": 0, ""verify_mode"": ""crc32""}",2.7179999999934807
confirmation,real_typeii_20db_d1024_bw180_blk0:170,real_typeii_20db_d1024_bw180_blk0,170,cascade_lite,d4ddedc4cda55b9c,True,True,True,verified_success,0.234375,0.0234375,0.0,379.0,1.477799960412085,ok,"{""block_size_schedule"": [8, 16, 32, 64], ""mapping"": ""gray"", ""num_passes"": 6, ""permutation_mode"": ""seeded_random"", ""seed"": 0, ""verify_mode"": ""crc32""}",2.7179999999934807
confirmation,real_typeii_20db_d1024_bw180_blk0:197,real_typeii_20db_d1024_bw180_blk0,197,cascade_lite,d4ddedc4cda55b9c,True,True,True,verified_success,0.203125,0.0203125,0.0,373.0,1.3957000337541103,ok,"{""block_size_schedule"": [8, 16, 32, 64], ""mapping"": ""gray"", ""num_passes"": 6, ""permutation_mode"": ""seeded_random"", ""seed"": 0, ""verify_mode"": ""crc32""}",2.7179999999934807
confirmation,real_typeii_20db_d1024_bw180_blk0:200,real_typeii_20db_d1024_bw180_blk0,200,cascade_lite,d4ddedc4cda55b9c,True,True,True,verified_success,0.203125,0.0203125,0.0,375.0,1.3856999576091766,ok,"{""block_size_schedule"": [8, 16, 32, 64], ""mapping"": ""gray"", ""num_passes"": 6, ""permutation_mode"": ""seeded_random"", ""seed"": 0, ""verify_mode"": ""crc32""}",2.7179999999934807
