dataset_id,frame_id,dimension,frame_len_symbols,symbols,frame_raw_ser,dataset_raw_ser,split,locked_frame_key
real_typeii_20db_d1024_bw180_blk0,300,1024,64,64,0.296875,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:300
real_typeii_20db_d1024_bw180_blk0,302,1024,64,64,0.28125,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:302
real_typeii_20db_d1024_bw180_blk0,312,1024,64,64,0.21875,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:312
real_typeii_20db_d1024_bw180_blk0,324,1024,64,64,0.234375,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:324
real_typeii_20db_d1024_bw180_blk0,325,1024,64,64,0.265625,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:325
real_typeii_20db_d1024_bw180_blk0,341,1024,64,64,0.109375,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:341
real_typeii_20db_d1024_bw180_blk0,354,1024,64,64,0.234375,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:354
real_typeii_20db_d1024_bw180_blk0,357,1024,64,64,0.234375,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:357
real_typeii_20db_d1024_bw180_blk0,360,1024,64,64,0.28125,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:360
real_typeii_20db_d1024_bw180_blk0,366,1024,64,64,0.25,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:366
real_typeii_20db_d1024_bw180_blk0,396,1024,64,64,0.28125,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:396
real_typeii_20db_d1024_bw180_blk0,399,1024,64,64,0.171875,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:399
real_typeii_20db_d1024_bw180_blk0,401,1024,64,64,0.234375,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:401
real_typeii_20db_d1024_bw180_blk0,403,1024,64,64,0.3125,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:403
real_typeii_20db_d1024_bw180_blk0,409,1024,64,64,0.3125,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:409
real_typeii_20db_d1024_bw180_blk0,413,1024,64,64,0.234375,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:413
real_typeii_20db_d1024_bw180_blk0,423,1024,64,64,0.140625,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:423
