dataset_id,dimension,bin_width_ps,method,frame_len_symbols,param_hash,runtime_s,n_frames_attempted
real_typeii_20db_d32_bw40_blk0,32,40.0,cascade_lite,64,7bb66119b31ce8cd,0.0724962999811396,4
real_typeii_20db_d32_bw180_blk0,32,180.0,cascade_lite,64,1cdb1b55b06d0718,0.0991877999913413,4
real_typeii_20db_d32_bw180_blk0,32,180.0,cascade_lite,64,3ddb0e813f8c9fa7,0.1174268999893684,4
real_typeii_20db_d32_bw180_blk0,32,180.0,cascade_lite,64,d8c9e97fcf2fa52f,0.1064908000116702,4
real_typeii_20db_d32_bw60_blk0,32,60.0,cascade_lite,64,1cdb1b55b06d0718,0.0300282000098377,4
real_typeii_20db_d32_bw40_blk0,32,40.0,cascade_lite,64,e41b94e22127bc2a,0.0904393000237178,4
real_typeii_20db_d32_bw60_blk0,32,60.0,cascade_lite,64,3ddb0e813f8c9fa7,0.0790348000009544,4
real_typeii_20db_d32_bw60_blk0,32,60.0,cascade_lite,64,e41b94e22127bc2a,0.0734667000069748,4
real_typeii_20db_d32_bw60_blk0,32,60.0,cascade_lite,64,d8c9e97fcf2fa52f,0.0531416999874636,4
real_typeii_20db_d32_bw40_blk0,32,40.0,cascade_lite,64,d8c9e97fcf2fa52f,0.1042028999945614,4
real_typeii_20db_d32_bw40_blk0,32,40.0,cascade_lite,64,3ddb0e813f8c9fa7,0.1119069000124,4
real_typeii_20db_d8_bw120_blk0,8,120.0,cascade_lite,64,3ddb0e813f8c9fa7,0.0607241000107023,4
real_typeii_20db_d32_bw40_blk0,32,40.0,cascade_lite,64,1cdb1b55b06d0718,0.118910399993183,4
real_typeii_20db_d8_bw120_blk0,8,120.0,cascade_lite,64,7bb66119b31ce8cd,0.0689776000217534,4
real_typeii_20db_d8_bw180_blk0,8,180.0,cascade_lite,64,7bb66119b31ce8cd,0.0436433999857399,4
real_typeii_20db_d32_bw100_blk0,32,100.0,cascade_lite,64,d8c9e97fcf2fa52f,0.2025154999864753,4
real_typeii_20db_d8_bw120_blk0,8,120.0,cascade_lite,64,e41b94e22127bc2a,0.0570619999780319,4
real_typeii_20db_d8_bw180_blk0,8,180.0,cascade_lite,64,3ddb0e813f8c9fa7,0.0376186000066809,4
real_typeii_20db_d32_bw60_blk0,32,60.0,cascade_lite,64,7ee822c7f60512c0,0.1003485000110231,4
real_typeii_20db_d32_bw60_blk0,32,60.0,cascade_lite,64,7bb66119b31ce8cd,0.1368965999863576,4
real_typeii_20db_d8_bw180_blk0,8,180.0,cascade_lite,64,e41b94e22127bc2a,0.0586939000058919,4
real_typeii_20db_d8_bw120_blk0,8,120.0,cascade_lite,64,1cdb1b55b06d0718,0.0768425000132992,4
real_typeii_20db_d8_bw120_blk0,8,120.0,cascade_lite,64,7ee822c7f60512c0,0.078173300018534,4
real_typeii_20db_d8_bw180_blk0,8,180.0,cascade_lite,64,1cdb1b55b06d0718,0.0440834000182803,4
real_typeii_20db_d8_bw180_blk0,8,180.0,cascade_lite,64,7ee822c7f60512c0,0.0590167999907862,4
real_typeii_20db_d8_bw200_blk0,8,200.0,cascade_lite,64,7bb66119b31ce8cd,0.0497456000011879,4
real_typeii_20db_d8_bw200_blk0,8,200.0,cascade_lite,64,e41b94e22127bc2a,0.0420058000017888,4
real_typeii_20db_d8_bw180_blk0,8,180.0,cascade_lite,64,d8c9e97fcf2fa52f,0.0612374999909661,4
real_typeii_20db_d8_bw120_blk0,8,120.0,cascade_lite,64,d8c9e97fcf2fa52f,0.0786899000231642,4
real_typeii_20db_d8_bw200_blk0,8,200.0,cascade_lite,64,1cdb1b55b06d0718,0.037014800007455,4
real_typeii_20db_d8_bw200_blk0,8,200.0,cascade_lite,64,3ddb0e813f8c9fa7,0.0685500999970827,4
real_typeii_20db_d8_bw50_blk0,8,50.0,cascade_lite,64,d8c9e97fcf2fa52f,0.0362466000078711,4
real_typeii_20db_d8_bw200_blk0,8,200.0,cascade_lite,64,7ee822c7f60512c0,0.0656216999923344,4
real_typeii_20db_d8_bw50_blk0,8,50.0,cascade_lite,64,1cdb1b55b06d0718,0.0394738999893888,4
real_typeii_20db_d8_bw200_blk0,8,200.0,cascade_lite,64,d8c9e97fcf2fa52f,0.0647173000033944,4
real_typeii_20db_d8_bw50_blk0,8,50.0,cascade_lite,64,e41b94e22127bc2a,0.0485086000117007,4
real_typeii_20db_d8_bw50_blk0,8,50.0,cascade_lite,64,7bb66119b31ce8cd,0.0691013000032398,4
real_typeii_20db_d8_bw50_blk0,8,50.0,cascade_lite,64,7ee822c7f60512c0,0.04856149997795,4
real_typeii_20db_d8_bw50_blk0,8,50.0,cascade_lite,64,3ddb0e813f8c9fa7,0.0714607000118121,4
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,9670a15685aa444a,1.070877099991776,4
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,e70c48e72e0f514c,1.0958770000142977,4
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,221e5a91339f6e44,1.1053107000188902,4
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,e8db1e33326bc16a,1.121879499987699,4
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,ec874e3fd7633e78,1.126130299991928,4
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,ec874e3fd7633e78,1.1599139999889303,4
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,dc1d252b3b27a80e,1.1613072000036482,4
