dataset_id,dimension,bin_width_ps,method,frame_len_symbols,param_hash,leak_EC_per_input_bit,beta_eff_empirical,raw_ser,post_ir_ser
real_typeii_20db_d32_bw180_blk0,32,180,cascade_lite,64,1cdb1b55b06d0718,1.178125,0.0,0.16796875,0.0
real_typeii_20db_d32_bw180_blk0,32,180,cascade_lite,64,3ddb0e813f8c9fa7,1.18125,0.0,0.16796875,0.0
real_typeii_20db_d32_bw180_blk0,32,180,cascade_lite,64,d8c9e97fcf2fa52f,1.334375,0.0,0.16796875,0.0
real_typeii_20db_d32_bw60_blk0,32,60,cascade_lite,64,1cdb1b55b06d0718,1.16796875,0.0,0.26953125,0.0
real_typeii_20db_d32_bw40_blk0,32,40,cascade_lite,64,e41b94e22127bc2a,1.11953125,0.0,0.31640625,0.0078125
real_typeii_20db_d32_bw60_blk0,32,60,cascade_lite,64,3ddb0e813f8c9fa7,1.11171875,0.0,0.26953125,0.046875
real_typeii_20db_d32_bw60_blk0,32,60,cascade_lite,64,e41b94e22127bc2a,1.1125,0.0,0.26953125,0.0
real_typeii_20db_d32_bw60_blk0,32,60,cascade_lite,64,d8c9e97fcf2fa52f,1.32421875,0.0,0.26953125,0.0
real_typeii_20db_d32_bw40_blk0,32,40,cascade_lite,64,d8c9e97fcf2fa52f,1.340625,0.0,0.31640625,0.0
real_typeii_20db_d32_bw40_blk0,32,40,cascade_lite,64,3ddb0e813f8c9fa7,1.17265625,0.0,0.31640625,0.01171875
real_typeii_20db_d8_bw120_blk0,8,120,cascade_lite,64,3ddb0e813f8c9fa7,1.1940104166666667,0.0,0.125,0.0
real_typeii_20db_d32_bw40_blk0,32,40,cascade_lite,64,1cdb1b55b06d0718,1.184375,0.0,0.31640625,0.0
real_typeii_20db_d8_bw120_blk0,8,120,cascade_lite,64,7bb66119b31ce8cd,0.9908854166666666,0.0,0.125,0.00390625
real_typeii_20db_d8_bw180_blk0,8,180,cascade_lite,64,7bb66119b31ce8cd,0.8723958333333334,0.0,0.0859375,0.0
real_typeii_20db_d32_bw100_blk0,32,100,cascade_lite,64,d8c9e97fcf2fa52f,1.3203125,0.0,0.23046875,0.0
real_typeii_20db_d8_bw120_blk0,8,120,cascade_lite,64,e41b94e22127bc2a,1.0559895833333333,0.0,0.125,0.0
real_typeii_20db_d8_bw180_blk0,8,180,cascade_lite,64,3ddb0e813f8c9fa7,1.0651041666666667,0.0,0.0859375,0.0
real_typeii_20db_d32_bw60_blk0,32,60,cascade_lite,64,7ee822c7f60512c0,1.2046875,0.0,0.26953125,0.0
real_typeii_20db_d32_bw60_blk0,32,60,cascade_lite,64,7bb66119b31ce8cd,0.9796875,0.0,0.26953125,0.05078125
real_typeii_20db_d8_bw180_blk0,8,180,cascade_lite,64,e41b94e22127bc2a,1.0143229166666667,0.0,0.0859375,0.0
real_typeii_20db_d8_bw120_blk0,8,120,cascade_lite,64,1cdb1b55b06d0718,1.1731770833333333,0.0,0.125,0.0
real_typeii_20db_d8_bw120_blk0,8,120,cascade_lite,64,7ee822c7f60512c0,1.2825520833333333,0.0,0.125,0.0
real_typeii_20db_d8_bw180_blk0,8,180,cascade_lite,64,1cdb1b55b06d0718,1.1497395833333333,0.0,0.0859375,0.0
real_typeii_20db_d8_bw180_blk0,8,180,cascade_lite,64,7ee822c7f60512c0,1.2421875,0.0,0.0859375,0.0
real_typeii_20db_d8_bw200_blk0,8,200,cascade_lite,64,7bb66119b31ce8cd,0.921875,0.0,0.1171875,0.03515625
real_typeii_20db_d8_bw200_blk0,8,200,cascade_lite,64,e41b94e22127bc2a,0.99609375,0.0,0.1171875,0.0
real_typeii_20db_d8_bw180_blk0,8,180,cascade_lite,64,d8c9e97fcf2fa52f,1.3059895833333333,0.0,0.0859375,0.0
real_typeii_20db_d8_bw120_blk0,8,120,cascade_lite,64,d8c9e97fcf2fa52f,1.3294270833333333,0.0,0.125,0.0
real_typeii_20db_d8_bw200_blk0,8,200,cascade_lite,64,1cdb1b55b06d0718,1.1848958333333333,0.0,0.1171875,0.0
real_typeii_20db_d8_bw200_blk0,8,200,cascade_lite,64,3ddb0e813f8c9fa7,1.1302083333333333,0.0,0.1171875,0.03125
real_typeii_20db_d8_bw50_blk0,8,50,cascade_lite,64,d8c9e97fcf2fa52f,1.4309895833333333,0.0,0.23828125,0.0
real_typeii_20db_d8_bw200_blk0,8,200,cascade_lite,64,7ee822c7f60512c0,1.2890625,0.0,0.1171875,0.0
real_typeii_20db_d8_bw50_blk0,8,50,cascade_lite,64,1cdb1b55b06d0718,1.2747395833333333,0.0,0.23828125,0.0
real_typeii_20db_d8_bw200_blk0,8,200,cascade_lite,64,d8c9e97fcf2fa52f,1.3411458333333333,0.0,0.1171875,0.0
real_typeii_20db_d8_bw50_blk0,8,50,cascade_lite,64,e41b94e22127bc2a,1.1666666666666667,0.0,0.23828125,0.0
real_typeii_20db_d8_bw50_blk0,8,50,cascade_lite,64,7bb66119b31ce8cd,1.1393229166666667,0.0,0.23828125,0.0234375
real_typeii_20db_d8_bw50_blk0,8,50,cascade_lite,64,7ee822c7f60512c0,1.3893229166666667,0.0,0.23828125,0.0
real_typeii_20db_d8_bw50_blk0,8,50,cascade_lite,64,3ddb0e813f8c9fa7,1.26171875,0.0,0.23828125,0.0234375
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,9670a15685aa444a,0.95625,0.0,0.2421875,0.0
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,e70c48e72e0f514c,1.05,0.0,0.2421875,0.0
