dataset_id,dimension,bin_width_ps,method,frame_len_symbols,param_hash,accepted_frame_fraction,n_frames_failed_decode,n_frames_failed_verify,n_frames_attempted
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,64,1b68567774e87e2e,0.0,4,0,4
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,64,f3f67ce02bdd88ce,0.25,3,0,4
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,64,b07a3943cf9048dc,0.5,2,0,4
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,64,221e5a91339f6e44,0.5,2,0,4
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,64,dc1d252b3b27a80e,0.0,4,0,4
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,64,ec874e3fd7633e78,0.0,4,0,4
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,64,f3f67ce02bdd88ce,0.0,4,0,4
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,64,1b68567774e87e2e,0.0,4,0,4
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,64,b07a3943cf9048dc,0.75,1,0,4
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,64,221e5a91339f6e44,0.75,1,0,4
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc,64,ec874e3fd7633e78,0.0,4,0,4
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc,64,dc1d252b3b27a80e,0.0,4,0,4
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc,64,f3f67ce02bdd88ce,0.0,4,0,4
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc,64,1b68567774e87e2e,0.0,4,0,4
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc,64,221e5a91339f6e44,0.5,2,0,4
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc,64,b07a3943cf9048dc,0.5,2,0,4
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,64,dc1d252b3b27a80e,0.0,4,0,4
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,64,1b68567774e87e2e,0.0,4,0,4
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,64,ec874e3fd7633e78,0.0,4,0,4
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,64,f3f67ce02bdd88ce,0.0,4,0,4
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,64,b07a3943cf9048dc,0.5,2,0,4
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,64,221e5a91339f6e44,0.5,2,0,4
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,64,e8db1e33326bc16a,0.5,2,0,4
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,64,9670a15685aa444a,0.75,1,0,4
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc,64,dc1d252b3b27a80e,0.0,4,0,4
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc,64,1b68567774e87e2e,0.0,4,0,4
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc,64,221e5a91339f6e44,0.75,1,0,4
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc,64,ec874e3fd7633e78,0.0,4,0,4
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc,64,f3f67ce02bdd88ce,0.0,4,0,4
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc,64,b07a3943cf9048dc,0.75,1,0,4
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc,64,f3f67ce02bdd88ce,0.5,2,0,4
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc,64,ec874e3fd7633e78,0.25,3,0,4
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc,64,dc1d252b3b27a80e,0.25,3,0,4
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc,64,1b68567774e87e2e,0.25,3,0,4
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc,64,221e5a91339f6e44,0.75,1,0,4
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc,64,b07a3943cf9048dc,0.75,1,0,4
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc,64,1b68567774e87e2e,0.25,3,0,4
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc,64,dc1d252b3b27a80e,0.25,3,0,4
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc,64,f3f67ce02bdd88ce,0.5,2,0,4
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc,64,ec874e3fd7633e78,0.5,2,0,4
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc,64,b07a3943cf9048dc,0.75,1,0,4
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc,64,221e5a91339f6e44,0.75,1,0,4
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc,64,dc1d252b3b27a80e,0.0,4,0,4
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc,64,ec874e3fd7633e78,0.75,1,0,4
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc,64,1b68567774e87e2e,0.0,4,0,4
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc,64,f3f67ce02bdd88ce,0.75,1,0,4
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc,64,1b68567774e87e2e,0.0,4,0,4
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc,64,dc1d252b3b27a80e,0.0,4,0,4
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc,64,b07a3943cf9048dc,0.5,2,0,4
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc,64,ec874e3fd7633e78,0.0,4,0,4
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc,64,f3f67ce02bdd88ce,0.0,4,0,4
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc,64,9670a15685aa444a,0.5,2,0,4
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc,64,221e5a91339f6e44,0.5,2,0,4
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc,64,e8db1e33326bc16a,0.5,2,0,4
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,128,7bb66119b31ce8cd,0.75,0,1,4
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,128,7bb66119b31ce8cd,0.75,0,1,4
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,128,3ddb0e813f8c9fa7,0.75,0,1,4
real_typeii_20db_d16_bw100_blk0,16,100,cascade_lite,128,3ddb0e813f8c9fa7,0.5,0,1,2
real_typeii_20db_d16_bw100_blk0,16,100,cascade_lite,128,7bb66119b31ce8cd,0.5,0,1,2
real_typeii_20db_d16_bw60_blk0,16,60,cascade_lite,128,7bb66119b31ce8cd,0.5,0,1,2
real_typeii_20db_d8_bw120_blk0,8,120,cascade_lite,128,7bb66119b31ce8cd,0.5,0,1,2
real_typeii_20db_d32_bw60_blk0,32,60,cascade_lite,128,7bb66119b31ce8cd,0.5,0,1,2
real_typeii_20db_d8_bw120_blk0,8,120,cascade_lite,128,3ddb0e813f8c9fa7,0.5,0,1,2
real_typeii_20db_d8_bw200_blk0,8,200,cascade_lite,128,3ddb0e813f8c9fa7,0.5,0,1,2
real_typeii_20db_d8_bw50_blk0,8,50,cascade_lite,128,7bb66119b31ce8cd,0.0,0,2,2
real_typeii_20db_d8_bw200_blk0,8,200,cascade_lite,128,7bb66119b31ce8cd,0.5,0,1,2
real_typeii_20db_d8_bw50_blk0,8,50,cascade_lite,128,3ddb0e813f8c9fa7,0.5,0,1,2
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc,128,f3f67ce02bdd88ce,0.0,4,0,4
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc,128,9670a15685aa444a,0.75,1,0,4
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc,128,ec874e3fd7633e78,0.0,4,0,4
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc,128,1b68567774e87e2e,0.0,4,0,4
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc,128,ec874e3fd7633e78,0.0,4,0,4
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc,128,1b68567774e87e2e,0.0,4,0,4
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc,128,dc1d252b3b27a80e,0.0,4,0,4
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc,128,f3f67ce02bdd88ce,0.0,4,0,4
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc,128,dc1d252b3b27a80e,0.0,4,0,4
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc,128,221e5a91339f6e44,0.5,2,0,4
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc,128,b07a3943cf9048dc,0.5,2,0,4
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc,128,e8db1e33326bc16a,0.75,1,0,4
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc,128,1b68567774e87e2e,0.0,2,0,2
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc,128,dc1d252b3b27a80e,0.0,2,0,2
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc,128,ec874e3fd7633e78,0.0,2,0,2
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc,128,f3f67ce02bdd88ce,0.0,2,0,2
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc,128,b07a3943cf9048dc,0.0,2,0,2
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc,128,221e5a91339f6e44,0.0,2,0,2
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc,128,1b68567774e87e2e,0.0,4,0,4
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc,128,dc1d252b3b27a80e,0.0,4,0,4
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc,128,ec874e3fd7633e78,0.0,4,0,4
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc,128,b07a3943cf9048dc,0.5,2,0,4
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc,128,e8db1e33326bc16a,0.75,1,0,4
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc,128,f3f67ce02bdd88ce,0.0,4,0,4
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc,128,221e5a91339f6e44,0.75,1,0,4
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc,128,9670a15685aa444a,0.75,1,0,4
