dataset_id,dimension,bin_width_ps,method,frame_len_symbols,n_frames_attempted,n_frames_success,accepted_frame_fraction,success_classification,param_hash
real_typeii_20db_d8_bw180_blk0,8,180.0,cascade_lite,64,4,4.0,1.0,real_ir_success,3ddb0e813f8c9fa7
real_typeii_20db_d32_bw60_blk0,32,60.0,cascade_lite,64,4,4.0,1.0,real_ir_success,7ee822c7f60512c0
real_typeii_20db_d32_bw60_blk0,32,60.0,cascade_lite,64,4,3.0,0.75,verified_failure,7bb66119b31ce8cd
real_typeii_20db_d8_bw180_blk0,8,180.0,cascade_lite,64,4,4.0,1.0,real_ir_success,e41b94e22127bc2a
real_typeii_20db_d8_bw120_blk0,8,120.0,cascade_lite,64,4,4.0,1.0,real_ir_success,1cdb1b55b06d0718
real_typeii_20db_d8_bw120_blk0,8,120.0,cascade_lite,64,4,4.0,1.0,real_ir_success,7ee822c7f60512c0
real_typeii_20db_d8_bw180_blk0,8,180.0,cascade_lite,64,4,4.0,1.0,real_ir_success,1cdb1b55b06d0718
real_typeii_20db_d8_bw180_blk0,8,180.0,cascade_lite,64,4,4.0,1.0,real_ir_success,7ee822c7f60512c0
real_typeii_20db_d8_bw200_blk0,8,200.0,cascade_lite,64,4,3.0,0.75,verified_failure,7bb66119b31ce8cd
real_typeii_20db_d8_bw200_blk0,8,200.0,cascade_lite,64,4,4.0,1.0,real_ir_success,e41b94e22127bc2a
real_typeii_20db_d8_bw180_blk0,8,180.0,cascade_lite,64,4,4.0,1.0,real_ir_success,d8c9e97fcf2fa52f
real_typeii_20db_d8_bw120_blk0,8,120.0,cascade_lite,64,4,4.0,1.0,real_ir_success,d8c9e97fcf2fa52f
real_typeii_20db_d8_bw200_blk0,8,200.0,cascade_lite,64,4,4.0,1.0,real_ir_success,1cdb1b55b06d0718
real_typeii_20db_d8_bw200_blk0,8,200.0,cascade_lite,64,4,3.0,0.75,verified_failure,3ddb0e813f8c9fa7
real_typeii_20db_d8_bw50_blk0,8,50.0,cascade_lite,64,4,4.0,1.0,real_ir_success,d8c9e97fcf2fa52f
real_typeii_20db_d8_bw200_blk0,8,200.0,cascade_lite,64,4,4.0,1.0,real_ir_success,7ee822c7f60512c0
real_typeii_20db_d8_bw50_blk0,8,50.0,cascade_lite,64,4,4.0,1.0,real_ir_success,1cdb1b55b06d0718
real_typeii_20db_d8_bw200_blk0,8,200.0,cascade_lite,64,4,4.0,1.0,real_ir_success,d8c9e97fcf2fa52f
real_typeii_20db_d8_bw50_blk0,8,50.0,cascade_lite,64,4,4.0,1.0,real_ir_success,e41b94e22127bc2a
real_typeii_20db_d8_bw50_blk0,8,50.0,cascade_lite,64,4,3.0,0.75,verified_failure,7bb66119b31ce8cd
real_typeii_20db_d8_bw50_blk0,8,50.0,cascade_lite,64,4,4.0,1.0,real_ir_success,7ee822c7f60512c0
real_typeii_20db_d8_bw50_blk0,8,50.0,cascade_lite,64,4,3.0,0.75,verified_failure,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,9670a15685aa444a
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,e70c48e72e0f514c
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,221e5a91339f6e44
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,e8db1e33326bc16a
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,4,1.0,0.25,decode_improved_but_unverified,ec874e3fd7633e78
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,4,0.0,0.0,decode_failed,ec874e3fd7633e78
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,4,0.0,0.0,decode_failed,dc1d252b3b27a80e
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,4,0.0,0.0,decode_failed,1b68567774e87e2e
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,4,3.0,0.75,decode_improved_but_unverified,b07a3943cf9048dc
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,4,3.0,0.75,decode_improved_but_unverified,221e5a91339f6e44
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,4,1.0,0.25,decode_improved_but_unverified,f3f67ce02bdd88ce
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,4,0.0,0.0,decode_failed,f3f67ce02bdd88ce
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,c0088d2836df2d57
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,4,0.0,0.0,decode_failed,dc1d252b3b27a80e
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,4,3.0,0.75,decode_improved_but_unverified,b07a3943cf9048dc
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,4,0.0,0.0,decode_failed,1b68567774e87e2e
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,4,0.0,0.0,decode_failed,dc1d252b3b27a80e
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,4,0.0,0.0,decode_failed,1b68567774e87e2e
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,4,2.0,0.5,decode_improved_but_unverified,ec874e3fd7633e78
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,e8db1e33326bc16a
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,4,1.0,0.25,decode_improved_but_unverified,f3f67ce02bdd88ce
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,4,0.0,0.0,decode_failed,1b68567774e87e2e
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,9670a15685aa444a
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,4,0.0,0.0,decode_failed,dc1d252b3b27a80e
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,c0088d2836df2d57
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,e8db1e33326bc16a
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,9670a15685aa444a
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,e70c48e72e0f514c
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,4,2.0,0.5,decode_improved_but_unverified,b07a3943cf9048dc
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,c0088d2836df2d57
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,4,2.0,0.5,decode_improved_but_unverified,221e5a91339f6e44
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,4,1.0,0.25,decode_improved_but_unverified,ec874e3fd7633e78
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,e70c48e72e0f514c
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,4,1.0,0.25,decode_improved_but_unverified,f3f67ce02bdd88ce
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,4,2.0,0.5,decode_improved_but_unverified,b07a3943cf9048dc
