dataset_id,dimension,bin_width_ps,method,frame_len_symbols,param_hash,leak_EC_actual_bits,leak_EC_per_input_bit,leakage_accounting
real_typeii_20db_d32_bw180_blk0,32,180,cascade_lite,64,1cdb1b55b06d0718,1508.0,1.178125,raw_EC_bits
real_typeii_20db_d32_bw180_blk0,32,180,cascade_lite,64,3ddb0e813f8c9fa7,1512.0,1.18125,raw_EC_bits
real_typeii_20db_d32_bw180_blk0,32,180,cascade_lite,64,d8c9e97fcf2fa52f,1708.0,1.334375,raw_EC_bits
real_typeii_20db_d32_bw60_blk0,32,60,cascade_lite,64,1cdb1b55b06d0718,1495.0,1.16796875,raw_EC_bits
real_typeii_20db_d32_bw40_blk0,32,40,cascade_lite,64,e41b94e22127bc2a,1433.0,1.11953125,raw_EC_bits
real_typeii_20db_d32_bw60_blk0,32,60,cascade_lite,64,3ddb0e813f8c9fa7,1423.0,1.11171875,raw_EC_bits
real_typeii_20db_d32_bw60_blk0,32,60,cascade_lite,64,e41b94e22127bc2a,1424.0,1.1125,raw_EC_bits
real_typeii_20db_d32_bw60_blk0,32,60,cascade_lite,64,d8c9e97fcf2fa52f,1695.0,1.32421875,raw_EC_bits
real_typeii_20db_d32_bw40_blk0,32,40,cascade_lite,64,d8c9e97fcf2fa52f,1716.0,1.340625,raw_EC_bits
real_typeii_20db_d32_bw40_blk0,32,40,cascade_lite,64,3ddb0e813f8c9fa7,1501.0,1.17265625,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,cascade_lite,64,3ddb0e813f8c9fa7,917.0,1.1940104166666667,raw_EC_bits
real_typeii_20db_d32_bw40_blk0,32,40,cascade_lite,64,1cdb1b55b06d0718,1516.0,1.184375,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,cascade_lite,64,7bb66119b31ce8cd,761.0,0.9908854166666666,raw_EC_bits
real_typeii_20db_d8_bw180_blk0,8,180,cascade_lite,64,7bb66119b31ce8cd,670.0,0.8723958333333334,raw_EC_bits
real_typeii_20db_d32_bw100_blk0,32,100,cascade_lite,64,d8c9e97fcf2fa52f,1690.0,1.3203125,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,cascade_lite,64,e41b94e22127bc2a,811.0,1.0559895833333333,raw_EC_bits
real_typeii_20db_d8_bw180_blk0,8,180,cascade_lite,64,3ddb0e813f8c9fa7,818.0,1.0651041666666667,raw_EC_bits
real_typeii_20db_d32_bw60_blk0,32,60,cascade_lite,64,7ee822c7f60512c0,1542.0,1.2046875,raw_EC_bits
real_typeii_20db_d32_bw60_blk0,32,60,cascade_lite,64,7bb66119b31ce8cd,1254.0,0.9796875,raw_EC_bits
real_typeii_20db_d8_bw180_blk0,8,180,cascade_lite,64,e41b94e22127bc2a,779.0,1.0143229166666667,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,cascade_lite,64,1cdb1b55b06d0718,901.0,1.1731770833333333,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,cascade_lite,64,7ee822c7f60512c0,985.0,1.2825520833333333,raw_EC_bits
real_typeii_20db_d8_bw180_blk0,8,180,cascade_lite,64,1cdb1b55b06d0718,883.0,1.1497395833333333,raw_EC_bits
real_typeii_20db_d8_bw180_blk0,8,180,cascade_lite,64,7ee822c7f60512c0,954.0,1.2421875,raw_EC_bits
real_typeii_20db_d8_bw200_blk0,8,200,cascade_lite,64,7bb66119b31ce8cd,708.0,0.921875,raw_EC_bits
real_typeii_20db_d8_bw200_blk0,8,200,cascade_lite,64,e41b94e22127bc2a,765.0,0.99609375,raw_EC_bits
real_typeii_20db_d8_bw180_blk0,8,180,cascade_lite,64,d8c9e97fcf2fa52f,1003.0,1.3059895833333333,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,cascade_lite,64,d8c9e97fcf2fa52f,1021.0,1.3294270833333333,raw_EC_bits
real_typeii_20db_d8_bw200_blk0,8,200,cascade_lite,64,1cdb1b55b06d0718,910.0,1.1848958333333333,raw_EC_bits
real_typeii_20db_d8_bw200_blk0,8,200,cascade_lite,64,3ddb0e813f8c9fa7,868.0,1.1302083333333333,raw_EC_bits
real_typeii_20db_d8_bw50_blk0,8,50,cascade_lite,64,d8c9e97fcf2fa52f,1099.0,1.4309895833333333,raw_EC_bits
