layer,ce_bit_per_symbol,required_bits,available_bits,margin_bits,ratio
l1,3.5959245714864068,3682.2267612020805,80.0,-3602.2267612020805,46.02783451502601
l2_oracle,1.615743287327693,1654.5211262235575,1000.0,-654.5211262235575,1.6545211262235575
joint,5.211667858814099,5336.747887425638,1080.0,-4256.747887425638,4.941433229097813
