role,stratum,plan_frame_id,alice_sha256,bob_sha256,transcript_bytes_len,transcript_bytes_sha256,dataset_id,frame_id,n_pairs,pair_idx_sequence_sha256,method,candidate_id,attempted,denominator_included,status,failure_reason,dimension,frame_len_symbols,raw_ser,fallback_invoked,rounds_attempted,verification_invoked,verification_seed_id_round0,verification_seed_id_round1,verification_tag_bits,epsilon_ec,key_dependent_disclosure_bits_total,public_control_bits_total,transcript_first_event_id,transcript_last_event_id,transcript_sha256,runtime_s,decoder_call_count,verification_check_count,ldpc_syndrome_bits,h1_syndrome_bits,h2_syndrome_bits,verification_tag_bits_component,feedback_control_bits,selection_sha256,channel_model_sha256,h1_codebook_manifest_sha256,h2_manifest_sha256,policy_sha256,mapping,leakage_comparison_policy,backend_name,backend_version
real,bw120,bw120|1023,39e3f26ce56118e1cc524289244b97dedd6e4dce4e022c94020d9851e2ee6c92,58335d9a625480bf4dbda7ef564576040d8210fce45d2745f29f30c96487409c,3591,67fafde31368710356a809c74a9591e0bb03bcd7e0722115f8af106d0274c7f1,real_10db_bw120,1023,256,be66c2867e103fa00c88539675e5cd95f52ec5e38d9038e6d3710539f6c0aec1,ldpc_formal_v5,V5-C2,true,true,verified_success,,1024,256,0.13671875,false,1,true,df706c93937f677924fcb800500320f97ac3142f99e88c350349b1f28fa5ebae,,64,5.421010862427522e-20,648,2623,1,13,67fafde31368710356a809c74a9591e0bb03bcd7e0722115f8af106d0274c7f1,0.10999999998603016,10,1,584,584,0,64,0,01f73e76cc43afdabe35cb15a6836b1c7fc40e9f1d4fcc00092dd174a06cce72,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,a4f836bb6ae46cd277ae632c469e6155c1ec18d1ed687eb515e1a925d1d85556,d59fbc19f037ea6fbb187e922ad5423a92174ab8fd0f442fe0c2f0e96a576845,9615c8ebde59aaf5e68079d4ecb0cd3d1aeaec9ba17310277881dda8a63342d2,gray,method_specific_not_cross_ranked,ldpc.BpOsdDecoder,2.4.1
real,bw120,bw120|7,a0add93444cdf42d54671cb8a80855483fcc850f9e16a829bd9da16f2f2e9c5d,1b796b162136e1bc0f9814dcad9c60be834f1a58a7663480ab368957f9c2880c,3552,fbe2f29b7f687f90097a3a3992d358dfd0243a3ab695e536dbf0bcbf75f0b885,real_10db_bw120,7,256,be66c2867e103fa00c88539675e5cd95f52ec5e38d9038e6d3710539f6c0aec1,ldpc_formal_v5,V5-C2,true,true,verified_success,,1024,256,0.1328125,false,1,true,3b77f37ca9ed17c082405042eaa3ac6aa78646f9e69dbb526284445493410dd5,,64,5.421010862427522e-20,648,2623,1,13,fbe2f29b7f687f90097a3a3992d358dfd0243a3ab695e536dbf0bcbf75f0b885,0.125,10,1,584,584,0,64,0,01f73e76cc43afdabe35cb15a6836b1c7fc40e9f1d4fcc00092dd174a06cce72,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,a4f836bb6ae46cd277ae632c469e6155c1ec18d1ed687eb515e1a925d1d85556,d59fbc19f037ea6fbb187e922ad5423a92174ab8fd0f442fe0c2f0e96a576845,9615c8ebde59aaf5e68079d4ecb0cd3d1aeaec9ba17310277881dda8a63342d2,gray,method_specific_not_cross_ranked,ldpc.BpOsdDecoder,2.4.1
real,bw120,bw120|1032,f84d453680af446261e06a5c7b04c6903c0e01c108735a6568f10f1804fb8565,688ed59dcc1dc8bd796c021a8eae164547d035f9698fe2c1d1b6ba01c956cefa,3591,e18ca3b5efb8ade0f95f98d647aa7b4450182c007a5d310b1bf5fc1d201a5a02,real_10db_bw120,1032,256,be66c2867e103fa00c88539675e5cd95f52ec5e38d9038e6d3710539f6c0aec1,ldpc_formal_v5,V5-C2,true,true,verified_success,,1024,256,0.109375,false,1,true,6086dea929afdf618b42ecf88098c767aa5f5cc2710e091b151cf9d7339c1697,,64,5.421010862427522e-20,648,2623,1,13,e18ca3b5efb8ade0f95f98d647aa7b4450182c007a5d310b1bf5fc1d201a5a02,0.14099999994505197,10,1,584,584,0,64,0,01f73e76cc43afdabe35cb15a6836b1c7fc40e9f1d4fcc00092dd174a06cce72,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,a4f836bb6ae46cd277ae632c469e6155c1ec18d1ed687eb515e1a925d1d85556,d59fbc19f037ea6fbb187e922ad5423a92174ab8fd0f442fe0c2f0e96a576845,9615c8ebde59aaf5e68079d4ecb0cd3d1aeaec9ba17310277881dda8a63342d2,gray,method_specific_not_cross_ranked,ldpc.BpOsdDecoder,2.4.1
real,bw120,bw120|500,79b6fbd984205d54144da53272793e6a4c1d7abef8043af61a7a5312b2ee4cfe,530cfe8da4e1146cd2698cb7eeafdb4c11921cfb88e4a808906fe8b3f627a9d8,3578,cd04d88d5f3cf287183c48df6a3efb989dfceed2146806988aa8399351e2bdb4,real_10db_bw120,500,256,be66c2867e103fa00c88539675e5cd95f52ec5e38d9038e6d3710539f6c0aec1,ldpc_formal_v5,V5-C2,true,true,verified_success,,1024,256,0.14453125,false,1,true,9c6cf732b8e54f184e76d2c56f9d221a49695b37d1b3053e7ad9b28a81990c94,,64,5.421010862427522e-20,648,2623,1,13,cd04d88d5f3cf287183c48df6a3efb989dfceed2146806988aa8399351e2bdb4,0.10999999998603016,10,1,584,584,0,64,0,01f73e76cc43afdabe35cb15a6836b1c7fc40e9f1d4fcc00092dd174a06cce72,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,a4f836bb6ae46cd277ae632c469e6155c1ec18d1ed687eb515e1a925d1d85556,d59fbc19f037ea6fbb187e922ad5423a92174ab8fd0f442fe0c2f0e96a576845,9615c8ebde59aaf5e68079d4ecb0cd3d1aeaec9ba17310277881dda8a63342d2,gray,method_specific_not_cross_ranked,ldpc.BpOsdDecoder,2.4.1
real,bw120,bw120|513,229253769cd15c635bc21174d16c61343ead1436d0f92f6bb6b6db3919d7eefb,f5bc82c5e9ba18d7fff5225b3ebd70ed3827df2fee0a626dc37348d44c87ea78,3578,c4d865a38063f48fda017d8896960d77f4b4aca52235c697b1a824b963faba57,real_10db_bw120,513,256,be66c2867e103fa00c88539675e5cd95f52ec5e38d9038e6d3710539f6c0aec1,ldpc_formal_v5,V5-C2,true,true,verified_success,,1024,256,0.10546875,false,1,true,c69717bbb45b6a74bd43fa03af7c2225cb0fc92b2470a547efcfa5db2f7f57e5,,64,5.421010862427522e-20,648,2623,1,13,c4d865a38063f48fda017d8896960d77f4b4aca52235c697b1a824b963faba57,0.125,10,1,584,584,0,64,0,01f73e76cc43afdabe35cb15a6836b1c7fc40e9f1d4fcc00092dd174a06cce72,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,a4f836bb6ae46cd277ae632c469e6155c1ec18d1ed687eb515e1a925d1d85556,d59fbc19f037ea6fbb187e922ad5423a92174ab8fd0f442fe0c2f0e96a576845,9615c8ebde59aaf5e68079d4ecb0cd3d1aeaec9ba17310277881dda8a63342d2,gray,method_specific_not_cross_ranked,ldpc.BpOsdDecoder,2.4.1
real,bw120,bw120|456,683e8092c6253d9f4be1fc148470031e49d937bcfa50224a25d1d12d92effe90,3c47e0766f3df0e4efd2a8aeb4312e276073d5f81c3a1d600ae952e0987eeaf5,3578,2d3da5570f0331378e92ab50ea27c5ae70984d9492d60bad35a17fcfdf5e6838,real_10db_bw120,456,256,be66c2867e103fa00c88539675e5cd95f52ec5e38d9038e6d3710539f6c0aec1,ldpc_formal_v5,V5-C2,true,true,verified_success,,1024,256,0.1171875,false,1,true,5186c1e9d0ef96c903d7762ec49c7a6e64aff6f60fd347743bcc5d0d9b6da5e5,,64,5.421010862427522e-20,648,2623,1,13,2d3da5570f0331378e92ab50ea27c5ae70984d9492d60bad35a17fcfdf5e6838,0.125,10,1,584,584,0,64,0,01f73e76cc43afdabe35cb15a6836b1c7fc40e9f1d4fcc00092dd174a06cce72,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,a4f836bb6ae46cd277ae632c469e6155c1ec18d1ed687eb515e1a925d1d85556,d59fbc19f037ea6fbb187e922ad5423a92174ab8fd0f442fe0c2f0e96a576845,9615c8ebde59aaf5e68079d4ecb0cd3d1aeaec9ba17310277881dda8a63342d2,gray,method_specific_not_cross_ranked,ldpc.BpOsdDecoder,2.4.1
real,bw120,bw120|490,42fe23ded49ba40b25fa44d312b00e7ecb80242b17cdd51c3ca106915c64bcdd,858ee6b0f1c6f440da615f80f7ce9ce79b3f2a631efabbf707dac3127acec729,3578,1bdc0759453b3f05d8339d23076866b7362802e81a467925a38e0d91d7bdff22,real_10db_bw120,490,256,be66c2867e103fa00c88539675e5cd95f52ec5e38d9038e6d3710539f6c0aec1,ldpc_formal_v5,V5-C2,true,true,verified_success,,1024,256,0.12109375,false,1,true,66a3c94d4550cff79a468b63536eda813c1c1b59bbe82846706105a9b53756df,,64,5.421010862427522e-20,648,2623,1,13,1bdc0759453b3f05d8339d23076866b7362802e81a467925a38e0d91d7bdff22,0.10899999993853271,10,1,584,584,0,64,0,01f73e76cc43afdabe35cb15a6836b1c7fc40e9f1d4fcc00092dd174a06cce72,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,a4f836bb6ae46cd277ae632c469e6155c1ec18d1ed687eb515e1a925d1d85556,d59fbc19f037ea6fbb187e922ad5423a92174ab8fd0f442fe0c2f0e96a576845,9615c8ebde59aaf5e68079d4ecb0cd3d1aeaec9ba17310277881dda8a63342d2,gray,method_specific_not_cross_ranked,ldpc.BpOsdDecoder,2.4.1
real,bw120,bw120|343,c42ce4f4c44f553a8dcf709a7cd8c752fd71d417eadbe11be57fa6fbe929dddf,bb2c2ad60423f164f87e9cddd64e4d81598f6887ac7babc14e3083b353993ba6,3578,84d207363c5d52d240707f09d3af366b312dec52ee2eb75bb08201b5612318a6,real_10db_bw120,343,256,be66c2867e103fa00c88539675e5cd95f52ec5e38d9038e6d3710539f6c0aec1,ldpc_formal_v5,V5-C2,true,true,verified_success,,1024,256,0.10546875,false,1,true,9ac98db7c90ca0c05561bcc2666a5c6660ab3d754349ca1a145dc7ff40a564db,,64,5.421010862427522e-20,648,2623,1,13,84d207363c5d52d240707f09d3af366b312dec52ee2eb75bb08201b5612318a6,0.14000000001396984,10,1,584,584,0,64,0,01f73e76cc43afdabe35cb15a6836b1c7fc40e9f1d4fcc00092dd174a06cce72,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,a4f836bb6ae46cd277ae632c469e6155c1ec18d1ed687eb515e1a925d1d85556,d59fbc19f037ea6fbb187e922ad5423a92174ab8fd0f442fe0c2f0e96a576845,9615c8ebde59aaf5e68079d4ecb0cd3d1aeaec9ba17310277881dda8a63342d2,gray,method_specific_not_cross_ranked,ldpc.BpOsdDecoder,2.4.1
real,bw120,bw120|998,7c27049076307457ac0697c3f441fa456cd13030c1e3fa4af0e61e7d7cd9439b,a69d40581daad9e44090daa370cc33ab629e84b643d8788579af283620278d9b,3578,4096cde25c6d62feb37b245650e9dd7db791611d04ab8ffdf394b2b7cae41547,real_10db_bw120,998,256,be66c2867e103fa00c88539675e5cd95f52ec5e38d9038e6d3710539f6c0aec1,ldpc_formal_v5,V5-C2,true,true,verified_success,,1024,256,0.078125,false,1,true,1a5a51f451f9079a9557a553ccfaf27acb4de28ff44790503af549ec9dd77362,,64,5.421010862427522e-20,648,2623,1,13,4096cde25c6d62feb37b245650e9dd7db791611d04ab8ffdf394b2b7cae41547,0.125,10,1,584,584,0,64,0,01f73e76cc43afdabe35cb15a6836b1c7fc40e9f1d4fcc00092dd174a06cce72,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,a4f836bb6ae46cd277ae632c469e6155c1ec18d1ed687eb515e1a925d1d85556,d59fbc19f037ea6fbb187e922ad5423a92174ab8fd0f442fe0c2f0e96a576845,9615c8ebde59aaf5e68079d4ecb0cd3d1aeaec9ba17310277881dda8a63342d2,gray,method_specific_not_cross_ranked,ldpc.BpOsdDecoder,2.4.1
real,bw120,bw120|1102,4ed59d74c6d9439bce5a38193a428c81bb44b4e60250e284314aa41774b8a5ad,2eb18486e5c22bbfdf1af709e0f0c9031eae7bbd09ade3cd0088adb56a8a1ed8,3591,3a97fe597271ed8d7ffb7d2f4c720628f429e4af27ba0acae9abf9d3f42b3270,real_10db_bw120,1102,256,be66c2867e103fa00c88539675e5cd95f52ec5e38d9038e6d3710539f6c0aec1,ldpc_formal_v5,V5-C2,true,true,verified_success,,1024,256,0.0859375,false,1,true,f4c313f3f1ed29da3093ebad41ac2c84c08e36f4b229cf36a26a3d805aee7999,,64,5.421010862427522e-20,648,2623,1,13,3a97fe597271ed8d7ffb7d2f4c720628f429e4af27ba0acae9abf9d3f42b3270,0.125,10,1,584,584,0,64,0,01f73e76cc43afdabe35cb15a6836b1c7fc40e9f1d4fcc00092dd174a06cce72,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,a4f836bb6ae46cd277ae632c469e6155c1ec18d1ed687eb515e1a925d1d85556,d59fbc19f037ea6fbb187e922ad5423a92174ab8fd0f442fe0c2f0e96a576845,9615c8ebde59aaf5e68079d4ecb0cd3d1aeaec9ba17310277881dda8a63342d2,gray,method_specific_not_cross_ranked,ldpc.BpOsdDecoder,2.4.1
