group,n_blocks,n_pairs,nll_u1,nll_u2,nll_total,ent,kl_sample,zero_B,rare_B,ser,u1_err,u2_err
all_success,30,30720,0.027430661523758018,0.792814296095701,0.8202449576194591,0.02554300007204411,0.001887661451713905,0.0,0.0,0.24791666666666667,0.00810546875,0.24791666666666667
all_failure,15,15360,0.026263683108458426,0.8590707932151783,0.8853344763236368,0.02398871191096165,0.0022749711974967687,0.0,0.0,0.24772135416666666,0.006705729166666666,0.24772135416666666
1M_success,8,8192,0.02548668411974203,0.7740038138806788,0.7994904980004208,0.024948496895645194,0.0005381872240968275,0.0,0.0,0.235595703125,0.0078125,0.235595703125
1M_failure,7,7168,0.02373566659562797,0.8429890413197708,0.8667247079153988,0.023287313381246955,0.0004483532143810125,0.0,0.0,0.24148995535714285,0.007114955357142857,0.24148995535714285
1p5M_success,12,12288,0.027383560032555,0.803719770566302,0.831103330598857,0.026972484970525224,0.00041107506202976474,0.0,0.0,0.2537434895833333,0.0087890625,0.2537434895833333
1p5M_failure,3,3072,0.021850154996788638,0.8902787787462386,0.9121289337430273,0.02441929093254655,-0.002569135935757919,0.0,0.0,0.2613932291666667,0.005859375,0.2613932291666667
2M_success,10,10240,0.02904236523641443,0.7947761125029978,0.8238184777394123,0.0243032207349859,0.004739144501428534,0.0,0.0,0.25078125,0.00751953125,0.25078125
2M_failure,5,5120,0.03245102309342293,0.8628604545501126,0.8953114776435355,0.024712322439611294,0.00773870065381164,0.0,0.0,0.2482421875,0.006640625,0.2482421875
