frame_id,status,exact_correct,syndrome_ok,postprocess_used,iterations,decoder_status,runtime_s,syndrome_symbols,syndrome_bits
0,decode_failed,False,False,False,3,converged_no_syndrome,10.64,28,280
1,decode_failed,False,False,False,3,converged_no_syndrome,11.141,28,280
2,decode_failed,False,False,False,3,converged_no_syndrome,11.047,28,280
3,decode_failed,False,False,False,3,converged_no_syndrome,10.5,28,280
