dimension,bin_width_ps,status,input_status,sidecar_verdict,fail_reason,map_ser
1024,150,PASS,OVERRIDE,PASS,,0.08075002355601621
1024,180,PASS,OVERRIDE,PASS,,0.06941046802333396
1024,200,PASS,OVERRIDE,PASS,,0.0641409596970226
