dimension,bin_width_ps,status,sidecar_verdict,fail_reason,skip_reason,map_ser,layers_success_best,coincidence_rate_hz,coincidence_rate_source_tag,peak_center_ps,peak_sigma_ps,peak_to_bg,raw_ser,near_neighbor_frac,n_pairs_actual,frame_diag_available,accepted_rate_proxy,IAB_est,IAB_or_proxy,beta_or_proxy,leak_ec_bits_or_proxy,n_unique_a,n_unique_b,top_a_frac,top_b_frac,security_claim_level,security_assumption_tag,pairing_model_tag,multi_event_handling_tag,frame_cleaning_tag,chi_E_source_tag,visibility_assumed,result_scope_tag,processing_rule_version,pairing_path_tag,effective_pairing_window_ps,threshold_ps,threshold_ratio_to_bw,pairing_window_source_tag,n_pairs_in_clean_frames,n_pairs_in_ambiguous_frames,clean_pair_fraction,both_multi_frame_fraction
1024,150,PASS,PASS,,,0.08075002355601621,10,24763.667245946628,explicit_acquisition_duration,-13,76.9935624358448,581.7,0.08075002355601621,1.0,74291,1,24763.667245946628,8.78779714030544,8.78779714030544,0.8653745878185668,1.1830608121804396,1024,1024,0.0013595186496345453,0.001440282133771251,engineering_diagnostic,zhang2014_niu2016_style_conditional_not_unconditional,nearest,candidate_pair_multievent_diagnostic_only,corrected_frame_candidate_pair_diagnostic_only,visibility_assumed_interface,0.95,polar_reconciliation_evaluation,pairing_v2,time_pairs_nearest,150,150,1.0,bw_fallback,74106,185,0.9975097925724515,0.001212839932080964
1024,180,PASS,PASS,,,0.06941046802333396,10,24799.33855286665,explicit_acquisition_duration,-13,109.36553566549081,530.0909090909091,0.06941046802333396,1.0,74398,1,24799.33855286665,8.942273386602908,8.942273386602908,0.8509987284274834,1.332410105352908,1024,1024,0.0014247694830506197,0.0013710045968977661,engineering_diagnostic,zhang2014_niu2016_style_conditional_not_unconditional,nearest,candidate_pair_multievent_diagnostic_only,corrected_frame_candidate_pair_diagnostic_only,visibility_assumed_interface,0.95,polar_reconciliation_evaluation,pairing_v2,time_pairs_nearest,180,180,1.0,bw_fallback,74183,215,0.9971101373692841,0.0014132278123233466
1024,200,PASS,PASS,,,0.0641409596970226,10,24820.338557286537,explicit_acquisition_duration,-13,119.92175988208396,486.25,0.0641409596970226,1.0,74461,1,24820.338557286537,9.015012580749644,9.015012580749644,0.857050202666774,1.2886942213746444,1024,1024,0.0013832744658277489,0.0013967043150105425,engineering_diagnostic,zhang2014_niu2016_style_conditional_not_unconditional,nearest,candidate_pair_multievent_diagnostic_only,corrected_frame_candidate_pair_diagnostic_only,visibility_assumed_interface,0.95,polar_reconciliation_evaluation,pairing_v2,time_pairs_nearest,200,200,1.0,bw_fallback,74183,278,0.9962665019271834,0.001856710393541877
