frame_id,status,exact_correct,syndrome_ok,postprocess_used,iterations,decoder_status,runtime_s,syndrome_symbols,syndrome_bits
0,exact_correct,True,True,False,5,success,1.453,5,50
1,exact_mismatch,False,True,True,60,max_iter_reached,17.406,5,50
2,exact_mismatch,False,True,True,12,converged_no_syndrome,3.5,5,50
3,exact_mismatch,False,True,True,15,converged_no_syndrome,3.953,5,50
4,exact_mismatch,False,True,True,5,converged_no_syndrome,1.359,5,50
5,exact_correct,True,True,False,3,success,0.813,5,50
6,exact_mismatch,False,True,True,15,converged_no_syndrome,4.078,5,50
7,exact_mismatch,False,True,True,6,converged_no_syndrome,1.782,5,50
