frame_id,status,exact_correct,syndrome_ok,postprocess_used,iterations,decoder_status,runtime_s,syndrome_symbols,syndrome_bits
0,exact_mismatch,False,True,True,21,converged_no_syndrome,6.032,5,50
1,exact_correct,True,True,False,10,success,2.875,5,50
2,exact_mismatch,False,True,True,6,converged_no_syndrome,1.719,5,50
3,exact_mismatch,False,True,True,7,converged_no_syndrome,2.031,5,50
