dataset_id,dimension,bin_width_ps,frame_cap,frames_used_actual,method,method_status,backend_status,block_size_schedule,num_passes,permutation_mode,seed,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,post_ir_ser,leak_EC_actual_bits,leak_EC_per_input_bit,beta_eff_empirical,runtime_s,notes,param_hash,real_ir_success,success_classification
real_typeii_20db_d8_bw200_blk0,8,200,4,2,cascade_lite,ok,internal_cascade_lite,"12,6,24,13",4,seeded_random,0,2,2,0,0,1.0,0.1171875,0.0,867.0,1.12890625,0.0,0.05301770000369288,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=682; bisection_disclosures_bits=121; verification_bits=64; other_disclosures_bits=0; candidate_flips=39; verified_flips=39; total_blocks_checked=341",7ee822c7f60512c0,True,real_ir_success
real_typeii_20db_d8_bw180_blk0,8,180,4,2,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",4,seeded_random,0,2,2,0,0,1.0,0.0859375,0.0,935.0,1.2174479166666667,0.0,0.06730159997823648,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=792; bisection_disclosures_bits=79; verification_bits=64; other_disclosures_bits=0; candidate_flips=29; verified_flips=29; total_blocks_checked=396",d8c9e97fcf2fa52f,True,real_ir_success
real_typeii_20db_d32_bw60_blk0,32,60,4,2,cascade_lite,ok,internal_cascade_lite,"12,6,24,13",4,seeded_random,0,2,2,0,0,1.0,0.26953125,0.0,1625.0,1.26953125,0.0,0.15897289998247288,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=1324; bisection_disclosures_bits=237; verification_bits=64; other_disclosures_bits=0; candidate_flips=89; verified_flips=89; total_blocks_checked=662",7ee822c7f60512c0,True,real_ir_success
real_typeii_20db_d8_bw180_blk0,8,180,4,2,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,0,2,2,0,0,1.0,0.0859375,0.0,664.0,0.8645833333333334,0.0,0.09832610000739805,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=488; bisection_disclosures_bits=112; verification_bits=64; other_disclosures_bits=0; candidate_flips=29; verified_flips=29; total_blocks_checked=244",3ddb0e813f8c9fa7,True,real_ir_success
real_typeii_20db_d32_bw60_blk0,32,60,4,2,cascade_lite,ok,internal_cascade_lite,"12,6,24,13",3,seeded_random,0,2,2,0,0,1.0,0.26953125,0.0,1425.0,1.11328125,0.0,0.16735579998930916,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=1124; bisection_disclosures_bits=237; verification_bits=64; other_disclosures_bits=0; candidate_flips=89; verified_flips=89; total_blocks_checked=562",e41b94e22127bc2a,True,real_ir_success
real_typeii_20db_d8_bw50_blk0,8,50,4,2,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,0,2,1,0,1,0.5,0.23828125,0.015625,701.0,0.9127604166666666,0.0,0.04791459999978542,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=396; bisection_disclosures_bits=241; verification_bits=64; other_disclosures_bits=0; candidate_flips=62; verified_flips=62; total_blocks_checked=198",3ddb0e813f8c9fa7,False,verified_failure
real_typeii_20db_d32_bw60_blk0,32,60,4,2,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",4,seeded_random,0,2,2,0,0,1.0,0.26953125,0.0,1625.0,1.26953125,0.0,0.1693985000019893,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=1324; bisection_disclosures_bits=237; verification_bits=64; other_disclosures_bits=0; candidate_flips=89; verified_flips=89; total_blocks_checked=662",d8c9e97fcf2fa52f,True,real_ir_success
real_typeii_20db_d8_bw50_blk0,8,50,4,2,cascade_lite,ok,internal_cascade_lite,"12,6,24,13",4,seeded_random,0,2,2,0,0,1.0,0.23828125,0.0,947.0,1.2330729166666667,0.0,0.04793850000714883,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=684; bisection_disclosures_bits=199; verification_bits=64; other_disclosures_bits=0; candidate_flips=66; verified_flips=66; total_blocks_checked=342",7ee822c7f60512c0,True,real_ir_success
real_typeii_20db_d8_bw50_blk0,8,50,4,2,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",3,seeded_random,0,2,2,0,0,1.0,0.23828125,0.0,924.0,1.203125,0.0,0.014304600015748292,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=676; bisection_disclosures_bits=184; verification_bits=64; other_disclosures_bits=0; candidate_flips=66; verified_flips=66; total_blocks_checked=338",1cdb1b55b06d0718,True,real_ir_success
real_typeii_20db_d8_bw200_blk0,8,200,4,2,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",3,seeded_random,0,2,2,0,0,1.0,0.1171875,0.0,841.0,1.0950520833333333,0.0,0.07763790001627058,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=672; bisection_disclosures_bits=105; verification_bits=64; other_disclosures_bits=0; candidate_flips=39; verified_flips=39; total_blocks_checked=336",1cdb1b55b06d0718,True,real_ir_success
real_typeii_20db_d8_bw50_blk0,8,50,4,2,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",4,seeded_random,0,2,2,0,0,1.0,0.23828125,0.0,1044.0,1.359375,0.0,0.04450410002027638,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=796; bisection_disclosures_bits=184; verification_bits=64; other_disclosures_bits=0; candidate_flips=66; verified_flips=66; total_blocks_checked=398",d8c9e97fcf2fa52f,True,real_ir_success
real_typeii_20db_d32_bw60_blk0,32,60,4,2,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",3,seeded_random,0,2,2,0,0,1.0,0.26953125,0.0,1425.0,1.11328125,0.0,0.1837694000278134,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=1124; bisection_disclosures_bits=237; verification_bits=64; other_disclosures_bits=0; candidate_flips=89; verified_flips=89; total_blocks_checked=562",1cdb1b55b06d0718,True,real_ir_success
real_typeii_20db_d8_bw50_blk0,8,50,4,2,cascade_lite,ok,internal_cascade_lite,"12,6,24,13",3,seeded_random,0,2,2,0,0,1.0,0.23828125,0.0,827.0,1.0768229166666667,0.0,0.06714550001197495,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=564; bisection_disclosures_bits=199; verification_bits=64; other_disclosures_bits=0; candidate_flips=66; verified_flips=66; total_blocks_checked=282",e41b94e22127bc2a,True,real_ir_success
real_typeii_20db_d32_bw60_blk0,32,60,4,2,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,0,2,2,0,0,1.0,0.26953125,0.0,1625.0,1.26953125,0.0,0.2222065000096336,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=1324; bisection_disclosures_bits=237; verification_bits=64; other_disclosures_bits=0; candidate_flips=89; verified_flips=89; total_blocks_checked=662",3ddb0e813f8c9fa7,True,real_ir_success
