dataset_id,dimension,bin_width_ps,frame_cap,frames_used_actual,method,method_status,backend_status,parity_fraction,max_iter,osd_order,bp_method,mapping,llr_mode,bitplane_rate_mode,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,post_ir_ser,leak_EC_actual_bits,leak_EC_per_input_bit,beta_eff_empirical,runtime_s,notes,param_hash,real_ir_success,success_classification
real_typeii_20db_d16_bw100_blk0,16,100,4,2,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,0.9,50,0,minimum_sum,gray,hard,uniform,2,2,0,0,1.0,0.19921875,0.0,992.0,0.96875,0.0,0.301779000001261,backend=ldpc.BpOsdDecoder; parity_fraction=0.9; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=hard; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,9670a15685aa444a,True,real_ir_success
real_typeii_20db_d16_bw100_blk0,16,100,4,2,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,0.9,50,0,minimum_sum,gray,bsc_estimated,uniform,2,2,0,0,1.0,0.19921875,0.0,992.0,0.96875,0.0,0.3227746000047773,backend=ldpc.BpOsdDecoder; parity_fraction=0.9; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,e8db1e33326bc16a,True,real_ir_success
real_typeii_20db_d1024_bw180_blk0,1024,180,4,4,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,0.9,50,0,minimum_sum,gray,hard,uniform,4,4,0,0,1.0,0.2578125,0.0,4768.0,0.93125,0.0,1.7464202999835834,backend=ldpc.BpOsdDecoder; parity_fraction=0.9; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=hard; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,9670a15685aa444a,True,real_ir_success
real_typeii_20db_d1024_bw200_blk0,1024,200,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,50,0,minimum_sum,gray,bsc_estimated,uniform,4,0,4,0,0.0,0.23828125,0.23828125,2688.0,0.525,0.0,1.625017200014554,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.23828125; post_ir_ser=0.23828125,1b68567774e87e2e,False,decode_failed
real_typeii_20db_d1024_bw180_blk0,1024,180,4,4,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,0.9,50,0,minimum_sum,gray,bsc_estimated,uniform,4,4,0,0,1.0,0.2578125,0.0,4768.0,0.93125,0.0,1.68628439999884,backend=ldpc.BpOsdDecoder; parity_fraction=0.9; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,e8db1e33326bc16a,True,real_ir_success
real_typeii_20db_d1024_bw200_blk0,1024,200,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,50,0,minimum_sum,gray,hard,uniform,4,0,4,0,0.0,0.23828125,0.23828125,2688.0,0.525,0.0,1.6623715000168886,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=hard; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.23828125; post_ir_ser=0.23828125,dc1d252b3b27a80e,False,decode_failed
real_typeii_20db_d1024_bw180_blk0,1024,180,4,4,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,1.0,50,0,minimum_sum,gray,hard,uniform,4,4,0,0,1.0,0.2578125,0.0,5248.0,1.025,0.0,1.6992822000174783,backend=ldpc.BpOsdDecoder; parity_fraction=1.0; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=hard; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,c0088d2836df2d57,True,real_ir_success
real_typeii_20db_d1024_bw180_blk0,1024,180,4,4,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,1.0,50,0,minimum_sum,gray,bsc_estimated,uniform,4,4,0,0,1.0,0.2578125,0.0,5248.0,1.025,0.0,1.7009135000116657,backend=ldpc.BpOsdDecoder; parity_fraction=1.0; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,e70c48e72e0f514c,True,real_ir_success
real_typeii_20db_d1024_bw200_blk0,1024,200,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.67,50,0,minimum_sum,gray,hard,uniform,4,0,4,0,0.0,0.23828125,0.23828125,3568.0,0.696875,0.0,1.6758688999980222,backend=ldpc.BpOsdDecoder; parity_fraction=0.67; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=hard; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.23828125; post_ir_ser=0.23828125,ec874e3fd7633e78,False,decode_failed
real_typeii_20db_d1024_bw200_blk0,1024,200,4,4,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,0.8,50,0,minimum_sum,gray,hard,uniform,4,2,2,0,0.5,0.23828125,0.125,4248.0,0.8296875,0.0,1.6848966000252403,backend=ldpc.BpOsdDecoder; parity_fraction=0.8; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=hard; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,b07a3943cf9048dc,False,decode_improved_but_unverified
real_typeii_20db_d1024_bw200_blk0,1024,200,4,4,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,0.9,50,0,minimum_sum,gray,bsc_estimated,uniform,4,3,1,0,0.75,0.23828125,0.064453125,4768.0,0.93125,0.0,1.712951499997871,backend=ldpc.BpOsdDecoder; parity_fraction=0.9; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,e8db1e33326bc16a,False,decode_improved_but_unverified
real_typeii_20db_d1024_bw200_blk0,1024,200,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.67,50,0,minimum_sum,gray,bsc_estimated,uniform,4,0,4,0,0.0,0.23828125,0.23828125,3568.0,0.696875,0.0,1.7771888000133913,backend=ldpc.BpOsdDecoder; parity_fraction=0.67; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.23828125; post_ir_ser=0.23828125,f3f67ce02bdd88ce,False,decode_failed
real_typeii_20db_d1024_bw200_blk0,1024,200,4,4,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,0.8,50,0,minimum_sum,gray,bsc_estimated,uniform,4,3,1,0,0.75,0.23828125,0.06640625,4248.0,0.8296875,0.0,1.7520863999961875,backend=ldpc.BpOsdDecoder; parity_fraction=0.8; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,221e5a91339f6e44,False,decode_improved_but_unverified
real_typeii_20db_d16_bw100_blk0,16,100,4,2,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,1.0,50,0,minimum_sum,gray,hard,uniform,2,2,0,0,1.0,0.19921875,0.0,1088.0,1.0625,0.0,0.37152709998190403,backend=ldpc.BpOsdDecoder; parity_fraction=1.0; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=hard; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,c0088d2836df2d57,True,real_ir_success
