pair_idx,f,seed,arm,source_layer,target_layer,source_rows,target_rows,n,source_slot_idx,target_slot_idx,source_provenance,target_provenance,source_exact,target_exact,l1_exact,l1_syndrome_ok,l2_exact,l2_syndrome_ok,both_layers_exact
40,1.2,2026091303,REVERSE_L2_TO_L1,L2,L1,52,59,64,79,80,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
41,1.2,2026091304,FORWARD_L1_TO_L2,L1,L2,59,52,64,81,82,CHECK_UPDATED,CHECK_UPDATED,True,True,True,True,True,True,True
42,1.2,2026091304,REVERSE_L2_TO_L1,L2,L1,52,59,64,83,84,CHECK_UPDATED,CHECK_UPDATED,False,True,True,True,False,False,False
43,1.2,2026091305,FORWARD_L1_TO_L2,L1,L2,59,52,64,85,86,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
44,1.2,2026091305,REVERSE_L2_TO_L1,L2,L1,52,59,64,87,88,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
45,1.2,2026091306,FORWARD_L1_TO_L2,L1,L2,59,52,64,89,90,CHECK_UPDATED,CHECK_UPDATED,False,True,False,False,True,True,False
46,1.2,2026091306,REVERSE_L2_TO_L1,L2,L1,52,59,64,91,92,CHECK_UPDATED,CHECK_UPDATED,False,True,True,True,False,False,False
47,1.2,2026091307,FORWARD_L1_TO_L2,L1,L2,59,52,64,93,94,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
48,1.2,2026091307,REVERSE_L2_TO_L1,L2,L1,52,59,64,95,96,CHECK_UPDATED,CHECK_UPDATED,False,True,True,True,False,False,False
49,1.2,2026091308,FORWARD_L1_TO_L2,L1,L2,59,52,64,97,98,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
50,1.2,2026091308,REVERSE_L2_TO_L1,L2,L1,52,59,64,99,100,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
51,1.2,2026091309,FORWARD_L1_TO_L2,L1,L2,59,52,64,101,102,CHECK_UPDATED,CHECK_UPDATED,True,False,True,True,False,False,False
52,1.2,2026091309,REVERSE_L2_TO_L1,L2,L1,52,59,64,103,104,CHECK_UPDATED,CHECK_UPDATED,False,True,True,True,False,False,False
53,1.2,2026091310,FORWARD_L1_TO_L2,L1,L2,59,52,64,105,106,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
54,1.2,2026091310,REVERSE_L2_TO_L1,L2,L1,52,59,64,107,108,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
55,1.2,2026091311,FORWARD_L1_TO_L2,L1,L2,59,52,64,109,110,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
56,1.2,2026091311,REVERSE_L2_TO_L1,L2,L1,52,59,64,111,112,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
57,1.2,2026091312,FORWARD_L1_TO_L2,L1,L2,59,52,64,113,114,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
58,1.2,2026091312,REVERSE_L2_TO_L1,L2,L1,52,59,64,115,116,CHECK_UPDATED,CHECK_UPDATED,False,True,True,True,False,False,False
59,1.2,2026091313,FORWARD_L1_TO_L2,L1,L2,59,52,64,117,118,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
60,1.2,2026091313,REVERSE_L2_TO_L1,L2,L1,52,59,64,119,120,CHECK_UPDATED,CHECK_UPDATED,False,True,True,True,False,False,False
61,1.2,2026091314,FORWARD_L1_TO_L2,L1,L2,59,52,64,121,122,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
62,1.2,2026091314,REVERSE_L2_TO_L1,L2,L1,52,59,64,123,124,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
63,1.2,2026091315,FORWARD_L1_TO_L2,L1,L2,59,52,64,125,126,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
64,1.2,2026091315,REVERSE_L2_TO_L1,L2,L1,52,59,64,127,128,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
