attempted,cascade_lookback_bits,cascade_parity_bits,cascade_primary_bisection_bits,dataset_id,denominator_included,dimension,epsilon_ec,failure_reason,frame_id,frame_len_symbols,key_dependent_disclosure_bits_total,method,n_pairs,pair_idx_sequence_sha256,plan_frame_key,public_control_bits_total,qualification_role,raw_ser,runtime_s,status,transcript_bytes_len,transcript_bytes_sha256,transcript_first_event_id,transcript_last_event_id,transcript_sha256,verification_invoked,verification_seed_id,verification_tag_bits,verification_tag_bits_component
True,8,75,46,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,190,64,193,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:190,1087,confirmation,0.203125,0.015000000013969839,verified_success,48427,f8f53c73db1fa4f5652f17602a8ce8260b39804f11671e2ab8d11b8bdb36f9a4,1,149,f8f53c73db1fa4f5652f17602a8ce8260b39804f11671e2ab8d11b8bdb36f9a4,True,2e4cbd8f1dd14899e30711bc14cc3325d47cef6111388e218b596130096c19c8,64,64
True,16,75,40,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,18,64,195,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:18,1087,confirmation,0.203125,0.0,verified_success,49622,e5d33e9383a459695f671fe01601e0463ba2657206156fababcedef8d0cdb8f2,1,153,e5d33e9383a459695f671fe01601e0463ba2657206156fababcedef8d0cdb8f2,True,1a7aea585f46f03158158365b5dd1a83f511a8bcfcdaed8878e5ccfaefa47e03,64,64
True,8,75,62,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,291,64,209,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:291,1087,confirmation,0.265625,0.0,verified_success,55079,a177148378127dd48eb9b2e4d3b799a9569795b48f641df5cd81495f69154e04,1,169,a177148378127dd48eb9b2e4d3b799a9569795b48f641df5cd81495f69154e04,True,ccc734372639c670a2565dd6f5fb5626e3dc9086416b65d693d90f5704082d49,64,64
True,4,75,49,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,125,64,192,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:125,1087,confirmation,0.203125,0.01600000006146729,verified_success,47786,3b659875a9a523e52549abae66ebb438b1e6bd8761c907c058e23376758cc6cf,1,147,3b659875a9a523e52549abae66ebb438b1e6bd8761c907c058e23376758cc6cf,True,52b88e4151a9d723e513ca2bffb20c1e5138837413149497ed239730c7ad51f5,64,64
True,0,75,56,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,147,64,195,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:147,1087,confirmation,0.21875,0.0,verified_success,48768,249baf8e762abe5f18067d6a72dbb1f1bd27cbbed2f6fc28ea11e0b7cf2dc9d1,1,150,249baf8e762abe5f18067d6a72dbb1f1bd27cbbed2f6fc28ea11e0b7cf2dc9d1,True,4b0d685378661a45a16e81d43311a721315d0dbbe6e16149d40263ba76b08d3f,64,64
True,4,75,53,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,64,64,196,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:64,1087,confirmation,0.21875,0.0,verified_success,49275,94e02b49f49fb5ebe2ba8225b31a16b75380ab44c77136bea19e492d4d3a8445,1,152,94e02b49f49fb5ebe2ba8225b31a16b75380ab44c77136bea19e492d4d3a8445,True,6f90dfdaa56322b9c521af42b23b387254b00e1b83dd14be012b0a0d229de6d8,64,64
True,4,75,61,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,99,64,204,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:99,1087,confirmation,0.25,0.0,verified_success,52593,a62a79e67177c559336c14a301409eb6ced8009d6fdcdd43b02924dcc38b6645,1,162,a62a79e67177c559336c14a301409eb6ced8009d6fdcdd43b02924dcc38b6645,True,d44c9d11522468f58433ae6d683dfd7850f0daf4c114ab2c508903758c9bcbc7,64,64
True,0,75,56,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,460,64,195,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:460,1087,confirmation,0.21875,0.0,verified_success,48763,e774f55277aa20b3efb8a0429254f8f88bb10de8b16315e86e85ea38e3ca4224,1,150,e774f55277aa20b3efb8a0429254f8f88bb10de8b16315e86e85ea38e3ca4224,True,80368a5c2caaedf1a623b4e8118e50fdb0c54f480115279d21264a2955e2cfbc,64,64
True,4,75,69,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,15,64,212,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:15,1087,confirmation,0.28125,0.0,verified_success,55885,25686c89e774dd75ab426e96bd5b60261d4eaa70defdce80e9f8b696ee34c8c0,1,172,25686c89e774dd75ab426e96bd5b60261d4eaa70defdce80e9f8b696ee34c8c0,True,75525197ef12b92333500d9c3e9731211ec1ae1d017ae625c0d3e7fe0cb26107,64,64
True,0,75,52,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,269,64,191,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:269,1087,confirmation,0.203125,0.0,verified_success,47087,b6d4b75bfce6295977a4a85e5d9500139677ad0136db528357ed6821a1937d9e,1,145,b6d4b75bfce6295977a4a85e5d9500139677ad0136db528357ed6821a1937d9e,True,7785f972866d7ee43bcf5f6744e9cb8b6834e38c44a7311a014b1d3fbb9de361,64,64
True,4,75,53,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,302,64,196,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:302,1087,confirmation,0.21875,0.0,verified_success,49426,1b613fcaeec3dca473807477a82311eae38d85a8f099a98bd6b5630e7bbe7296,1,152,1b613fcaeec3dca473807477a82311eae38d85a8f099a98bd6b5630e7bbe7296,True,798b2925a7444bafbdd8a4a473f526832dda6704a342e5310a3662a1a1516316,64,64
True,4,75,49,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,135,64,192,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:135,1087,confirmation,0.203125,0.0,verified_success,47768,a18196bf95120b2f9c688198ab52df0c195c6be153fb16b118f56799afd40c84,1,147,a18196bf95120b2f9c688198ab52df0c195c6be153fb16b118f56799afd40c84,True,c3a95dab10731570b9fa84db2dd71e7825c9cefc923ff342cb8f8537a2aa0e98,64,64
True,4,75,50,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,356,64,193,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:356,1087,confirmation,0.203125,0.0,verified_success,48445,bf8684fbf2047a997f8d8abfcbcf9b8aed7893772eb4fe86953e756588fcb736,1,149,bf8684fbf2047a997f8d8abfcbcf9b8aed7893772eb4fe86953e756588fcb736,True,a8d1533f03467096610946db026b0505af75dffc71d80a829700fe21e6c1f749,64,64
True,8,75,59,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,166,64,206,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:166,1087,confirmation,0.25,0.01600000006146729,verified_success,54062,e9e0f550be74dbf0b5c7f9604c4f5da72bf16affe7d1d6e265040dec83f82f33,1,166,e9e0f550be74dbf0b5c7f9604c4f5da72bf16affe7d1d6e265040dec83f82f33,True,0f1d965da9ebef948bd41c9134880cbeea3cb41f4feffb1c092356f3cbac4092,64,64
True,8,75,70,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,11,64,217,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:11,1087,confirmation,0.296875,0.0,verified_success,58217,1072ba024d87a45a1b5403813b228998775a31d9f490069e51a7539342f9e1e3,1,179,1072ba024d87a45a1b5403813b228998775a31d9f490069e51a7539342f9e1e3,True,712b6fc4fdfc78663af80b68fea53c181cc58d72fc349728802426fc045a80e8,64,64
True,0,75,56,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,285,64,195,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:285,1087,confirmation,0.21875,0.0,verified_success,48758,b61bbd1d3322024b191a57bb5411e58746ba021cd517276d4f02e08d69edff62,1,150,b61bbd1d3322024b191a57bb5411e58746ba021cd517276d4f02e08d69edff62,True,690d4d2937c5d457fd7ecae6e07f6df1df2afdaac5aac7fd36ba878fd2983a47,64,64
