role,stratum_id,plane_id,candidate_id,channel_model_sha256,policy_sha256,matrix_sha256,candidate_valid,backend_identity,frame_id,attempted,status,exact_match,syndrome_bits_disclosed,runtime_s,source_sha256
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f010,true,development_exact_success,true,16,0.0004928000271320343,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f011,true,development_exact_success,true,16,0.0005034999921917915,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f012,true,development_exact_success,true,16,0.0004961999366059899,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f013,true,development_exact_success,true,16,0.0004961000522598624,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f014,true,development_exact_success,true,16,0.0007996999192982912,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f015,true,development_exact_success,true,16,0.0005685000214725733,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f016,true,development_exact_success,true,16,0.0004968999419361353,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f017,true,development_exact_success,true,16,0.0004905000096186996,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f018,true,development_exact_success,true,16,0.0004906000103801489,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f019,true,development_exact_success,true,16,0.0007929999846965075,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
