model,layer,ce_mean,f,required_bits,required_rows,available_rows,fit
G,L1,4.9963129588904875,1.0,5116.224469903859,1024,16,False
G,L1,4.9963129588904875,1.1,5627.846916894246,1126,16,False
G,L1,4.9963129588904875,1.2,6139.469363884631,1228,16,False
G,L1,4.9963129588904875,1.3,6651.0918108750175,1331,16,False
G,L2,5.003364177209347,1.0,5123.444917462371,1025,200,False
G,L2,5.003364177209347,1.1,5635.789409208609,1128,200,False
G,L2,5.003364177209347,1.2,6148.133900954846,1230,200,False
G,L2,5.003364177209347,1.3,6660.478392701083,1333,200,False
G,Total,9.999677136099834,1.0,10239.66938736623,2048,216,False
G,Total,9.999677136099834,1.1,11263.636326102853,2253,216,False
G,Total,9.999677136099834,1.2,12287.603264839476,2458,216,False
G,Total,9.999677136099834,1.3,13311.570203576099,2663,216,False
F,L1,3.8147422680157206,1.0,3906.296082448098,782,16,False
F,L1,3.8147422680157206,1.1,4296.925690692908,860,16,False
F,L1,3.8147422680157206,1.2,4687.555298937717,938,16,False
F,L1,3.8147422680157206,1.3,5078.184907182527,1016,16,False
F,L2,3.347605161943064,1.0,3427.9476858296975,686,200,False
F,L2,3.347605161943064,1.1,3770.7424544126675,755,200,False
F,L2,3.347605161943064,1.2,4113.5372229956365,823,200,False
F,L2,3.347605161943064,1.3,4456.331991578607,892,200,False
F,Total,7.162347429958785,1.0,7334.243768277795,1467,216,False
F,Total,7.162347429958785,1.1,8067.668145105576,1614,216,False
F,Total,7.162347429958785,1.2,8801.092521933355,1761,216,False
F,Total,7.162347429958785,1.3,9534.516898761134,1907,216,False
L,L1,3.8147422680157206,1.0,3906.296082448098,782,16,False
L,L1,3.8147422680157206,1.1,4296.925690692908,860,16,False
L,L1,3.8147422680157206,1.2,4687.555298937717,938,16,False
L,L1,3.8147422680157206,1.3,5078.184907182527,1016,16,False
L,L2,3.529207167751185,1.0,3613.9081397772134,723,200,False
L,L2,3.529207167751185,1.1,3975.298953754935,796,200,False
L,L2,3.529207167751185,1.2,4336.689767732656,868,200,False
L,L2,3.529207167751185,1.3,4698.080581710377,940,200,False
L,Total,7.3439494357669055,1.0,7520.204222225311,1505,216,False
L,Total,7.3439494357669055,1.1,8272.224644447842,1655,216,False
L,Total,7.3439494357669055,1.2,9024.245066670373,1805,216,False
L,Total,7.3439494357669055,1.3,9776.265488892905,1956,216,False
