call_idx,arm,n,seed,point,rows_l1,rows_l2,mode,matrix_id,exact,syndrome_ok,iterations,finite,crash,timeout,wall_timeout,prior_mass_on_truth,wall_s,rss_bytes,watchdog_ok,worker_pid,respawn_pid,error
25,B0_D5_DV3_NATIVE,64,2026091003,f1.2,59,52,L2-APP,B0_D5_DV3_NATIVE|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.14767209948282545,0.754145700018853,88129536,True,2868,,
26,B1_D5_DV3_COMMON_LABELS,64,2026091003,square,64,64,L2-oracle,B1_D5_DV3_COMMON_LABELS|n64|L1k64/L2k64,True,True,2,True,False,False,False,0.33478823024061705,0.014750800095498562,88084480,True,47648,,
27,B1_D5_DV3_COMMON_LABELS,64,2026091000,f1.2,59,52,L2-APP,B1_D5_DV3_COMMON_LABELS|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.19699792666657856,0.735433999914676,88199168,True,39856,,
28,B0_D5_DV3_NATIVE,64,2026091001,f1.2,59,52,L2-APP,B0_D5_DV3_NATIVE|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.1009384407482051,0.7700109998695552,88039424,True,40600,,
29,T1_PEG_DV3,64,2026091001,f1.2,59,52,L1,T1_PEG_DV3|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.0877572481655559,0.6289526000618935,88084480,True,47648,,
30,B1_D5_DV3_COMMON_LABELS,64,2026091001,f1.2,59,52,L2-APP,B1_D5_DV3_COMMON_LABELS|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.07730314169463307,0.7564101999159902,88240128,True,40944,,
31,B0_D5_DV3_NATIVE,64,2026091002,f1.2,59,52,L2-APP,B0_D5_DV3_NATIVE|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.07372558525410616,0.6778381001204252,88145920,True,5240,,
32,B1_D5_DV3_COMMON_LABELS,64,2026091002,f1.2,59,52,L2-APP,B1_D5_DV3_COMMON_LABELS|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.07067359061538242,0.7115444999653846,87949312,True,30676,,
33,B1_D5_DV3_COMMON_LABELS,64,2026091001,square,64,64,L2-APP,B1_D5_DV3_COMMON_LABELS|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.0709209096320496,0.8773315001744777,88170496,True,6460,,
34,B0_D5_DV3_NATIVE,64,2026091000,square,64,64,L2-APP,B0_D5_DV3_NATIVE|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.08327811180080372,0.8948172000236809,88289280,True,17684,,
35,B0_D5_DV3_NATIVE,64,2026091001,square,64,64,L2-APP,B0_D5_DV3_NATIVE|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.10170444485521084,0.7265921998769045,88170496,True,16964,,
36,B0_D5_DV3_NATIVE,64,2026091002,square,64,64,L2-APP,B0_D5_DV3_NATIVE|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.0757812320137817,0.9096807001624256,88309760,True,42992,,
37,B0_D5_DV3_NATIVE,64,2026091003,square,64,64,L2-APP,B0_D5_DV3_NATIVE|n64|L1k64/L2k64,True,True,7,True,False,False,False,0.1470333940266764,0.08353439997881651,88424448,True,35976,,
38,B1_D5_DV3_COMMON_LABELS,64,2026091000,square,64,64,L2-APP,B1_D5_DV3_COMMON_LABELS|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.1156446754300622,0.8870012999977916,88092672,True,29100,,
