arm,n,layer,prefix_rows,rank,zero_rows,zero_columns,connected_components,largest_component_fraction,four_cycles,four_cycle_variable_incidence_max,duplicate_projective_columns,base_pair_duplicates,support_triple_duplicates,row_degree_max,row_degree_sumsq,girth,girth_reason,m_cycle_rank,window_overflow,eligible,determinism_ok
M1_ACCUMULATOR_FOREST_MAX,128,L1,98,98,0,0,1,1.0,0,0,0,0,0,3,692,6,,0,0,True,True
M1_ACCUMULATOR_FOREST_MAX,128,L1,118,118,0,0,1,1.0,0,0,0,0,0,3,715,6,,0,0,True,True
M1_ACCUMULATOR_FOREST_MAX,128,L1,128,128,0,0,1,1.0,0,0,0,0,0,3,725,6,,0,0,True,True
M1_ACCUMULATOR_FOREST_MAX,128,L2,86,86,0,0,1,1.0,0,0,0,0,0,3,764,6,,0,0,True,True
M1_ACCUMULATOR_FOREST_MAX,128,L2,104,104,0,0,1,1.0,0,0,0,0,0,3,785,6,,0,0,True,True
M1_ACCUMULATOR_FOREST_MAX,128,L2,128,128,0,0,1,1.0,0,0,0,0,0,3,809,6,,0,0,True,True
M1_ACCUMULATOR_FOREST_MAX,256,L1,196,196,0,0,1,1.0,0,0,0,0,0,3,1384,6,,0,0,True,True
M1_ACCUMULATOR_FOREST_MAX,256,L1,236,236,0,0,1,1.0,0,0,0,0,0,3,1427,6,,0,0,True,True
M1_ACCUMULATOR_FOREST_MAX,256,L1,256,256,0,0,1,1.0,0,0,0,0,0,3,1447,6,,0,0,True,True
M1_ACCUMULATOR_FOREST_MAX,256,L2,172,172,0,0,1,1.0,0,0,0,0,0,3,1528,6,,0,0,True,True
M1_ACCUMULATOR_FOREST_MAX,256,L2,208,208,0,0,1,1.0,0,0,0,0,0,3,1567,6,,0,0,True,True
M1_ACCUMULATOR_FOREST_MAX,256,L2,256,256,0,0,1,1.0,0,0,0,0,0,3,1615,6,,0,0,True,True
M2_ACCUMULATOR_FOREST_HALF,64,L1,49,48,0,0,2,0.921875,13,2,0,0,0,3,396,4,,0,0,False,True
M2_ACCUMULATOR_FOREST_HALF,64,L1,59,58,0,0,2,0.921875,13,2,0,0,0,3,436,4,,0,0,False,True
M2_ACCUMULATOR_FOREST_HALF,64,L1,64,63,0,0,1,1.0,13,2,0,0,0,3,456,4,,0,0,False,True
M2_ACCUMULATOR_FOREST_HALF,64,L2,43,43,0,0,1,1.0,14,2,0,0,0,4,429,4,,0,0,True,True
M2_ACCUMULATOR_FOREST_HALF,64,L2,52,50,0,0,1,1.0,22,2,0,0,0,4,465,4,,0,0,False,True
M2_ACCUMULATOR_FOREST_HALF,64,L2,64,61,0,0,1,1.0,27,2,0,0,0,4,495,4,,0,0,False,True
M2_ACCUMULATOR_FOREST_HALF,128,L1,98,96,0,0,4,0.6328125,26,2,0,2,0,3,792,4,,0,0,False,True
M2_ACCUMULATOR_FOREST_HALF,128,L1,118,116,0,0,2,0.9609375,26,2,0,2,0,3,872,4,,0,0,False,True
M2_ACCUMULATOR_FOREST_HALF,128,L1,128,125,0,0,1,1.0,26,2,0,2,0,3,912,4,,0,0,False,True
M2_ACCUMULATOR_FOREST_HALF,128,L2,86,86,0,0,1,1.0,14,1,0,0,0,4,858,4,,0,0,True,True
M2_ACCUMULATOR_FOREST_HALF,128,L2,104,101,0,0,1,1.0,25,2,0,0,0,4,930,4,,0,0,False,True
M2_ACCUMULATOR_FOREST_HALF,128,L2,128,123,0,0,1,1.0,35,2,0,0,0,4,990,4,,0,0,False,True
M2_ACCUMULATOR_FOREST_HALF,256,L1,196,191,0,0,7,0.58203125,47,2,0,4,0,3,1579,4,,0,0,False,True
M2_ACCUMULATOR_FOREST_HALF,256,L1,236,231,0,0,4,0.94140625,47,2,0,4,0,3,1739,4,,0,0,False,True
M2_ACCUMULATOR_FOREST_HALF,256,L1,256,248,0,0,1,1.0,47,2,0,4,0,3,1819,4,,0,0,False,True
M2_ACCUMULATOR_FOREST_HALF,256,L2,172,172,0,0,1,1.0,29,2,0,0,0,4,1716,4,,0,0,True,True
M2_ACCUMULATOR_FOREST_HALF,256,L2,208,200,0,0,1,1.0,29,2,0,0,0,4,1860,4,,0,0,False,True
M2_ACCUMULATOR_FOREST_HALF,256,L2,256,244,0,0,1,1.0,29,2,0,0,0,4,1977,4,,0,0,False,True
T1_PEG_DV3,64,L1,49,49,0,0,1,1.0,0,0,0,0,0,4,483,8,,,0,True,True
T1_PEG_DV3,64,L1,59,59,0,0,1,1.0,0,0,0,0,0,4,558,8,,,0,True,True
T1_PEG_DV3,64,L1,64,64,0,0,1,1.0,0,0,0,0,0,4,588,8,,,0,True,True
T1_PEG_DV3,64,L2,43,43,0,0,1,1.0,0,0,0,0,0,4,478,8,,,0,True,True
T1_PEG_DV3,64,L2,52,52,0,0,1,1.0,0,0,0,0,0,4,544,8,,,0,True,True
T1_PEG_DV3,64,L2,64,64,0,0,1,1.0,0,0,0,0,0,4,602,8,,,0,True,True
T1_PEG_DV3,128,L1,98,98,0,0,1,1.0,0,0,0,0,0,4,1001,10,,,0,True,True
T1_PEG_DV3,128,L1,118,118,0,0,1,1.0,0,0,0,0,0,4,1121,10,,,0,True,True
T1_PEG_DV3,128,L1,128,128,0,0,1,1.0,0,0,0,0,0,4,1186,10,,,0,True,True
T1_PEG_DV3,128,L2,86,86,0,0,1,1.0,0,0,0,0,0,4,977,10,,,0,True,True
T1_PEG_DV3,128,L2,104,104,0,0,1,1.0,0,0,0,0,0,4,1084,10,,,0,True,True
T1_PEG_DV3,128,L2,128,128,0,0,1,1.0,0,0,0,0,0,4,1210,10,,,0,True,True
T1_PEG_DV3,256,L1,196,196,0,0,1,1.0,0,0,0,0,0,4,2037,12,,,0,True,True
T1_PEG_DV3,256,L1,236,236,0,0,1,1.0,0,0,0,0,0,4,2287,10,,,0,True,True
T1_PEG_DV3,256,L1,256,256,0,0,1,1.0,0,0,0,0,0,4,2382,10,,,0,True,True
T1_PEG_DV3,256,L2,172,172,0,0,1,1.0,0,0,0,0,0,4,1975,12,,,0,True,True
T1_PEG_DV3,256,L2,208,208,0,0,1,1.0,0,0,0,0,0,4,2194,10,,,0,True,True
T1_PEG_DV3,256,L2,256,256,0,0,1,1.0,0,0,0,0,0,4,2426,10,,,0,True,True
T2_CYCLE_GREEDY_DV3,64,L1,49,49,0,0,1,1.0,0,0,0,0,0,4,504,6,,,0,True,True
T2_CYCLE_GREEDY_DV3,64,L1,59,59,0,0,1,1.0,0,0,0,0,0,4,574,6,,,0,True,True
T2_CYCLE_GREEDY_DV3,64,L1,64,63,0,0,1,1.0,0,0,0,0,0,4,594,6,,,0,False,True
T2_CYCLE_GREEDY_DV3,64,L2,43,43,0,0,1,1.0,0,0,0,0,0,4,478,6,,,0,True,True
T2_CYCLE_GREEDY_DV3,64,L2,52,52,0,0,1,1.0,0,0,0,0,0,4,554,6,,,0,True,True
T2_CYCLE_GREEDY_DV3,64,L2,64,62,0,0,1,1.0,0,0,0,0,0,4,602,6,,,0,False,True
T2_CYCLE_GREEDY_DV3,128,L1,98,98,0,0,1,1.0,0,0,0,0,0,4,1015,6,,,0,True,True
T2_CYCLE_GREEDY_DV3,128,L1,118,118,0,0,1,1.0,0,0,0,0,0,4,1150,6,,,0,True,True
T2_CYCLE_GREEDY_DV3,128,L1,128,123,0,0,1,1.0,0,0,0,0,0,4,1190,6,,,0,False,True
T2_CYCLE_GREEDY_DV3,128,L2,86,86,0,0,1,1.0,0,0,0,0,0,4,963,6,,,0,True,True
T2_CYCLE_GREEDY_DV3,128,L2,104,104,0,0,1,1.0,0,0,0,0,0,4,1110,6,,,0,True,True
T2_CYCLE_GREEDY_DV3,128,L2,128,122,0,0,1,1.0,0,0,0,0,0,4,1206,6,,,0,False,True
T2_CYCLE_GREEDY_DV3,256,L1,196,196,0,0,1,1.0,0,0,0,0,0,4,2044,6,,,0,True,True
T2_CYCLE_GREEDY_DV3,256,L1,236,233,0,0,1,1.0,0,0,0,0,0,4,2304,6,,,0,False,True
T2_CYCLE_GREEDY_DV3,256,L1,256,246,0,0,1,1.0,0,0,0,0,0,4,2384,6,,,0,False,True
T2_CYCLE_GREEDY_DV3,256,L2,172,172,0,0,1,1.0,0,0,0,0,0,4,1940,6,,,0,True,True
T2_CYCLE_GREEDY_DV3,256,L2,208,208,0,0,1,1.0,0,0,0,0,0,4,2224,6,,,0,True,True
T2_CYCLE_GREEDY_DV3,256,L2,256,240,0,0,1,1.0,0,0,0,0,0,4,2416,6,,,0,False,True
T3_SC_DV3_W4,64,L1,49,49,0,0,1,1.0,6,2,0,0,0,4,630,4,,,2,True,True
T3_SC_DV3_W4,64,L1,59,59,0,0,1,1.0,6,2,0,0,0,4,640,4,,,2,True,True
T3_SC_DV3_W4,64,L1,64,64,0,0,1,1.0,7,2,0,0,0,4,654,4,,,2,True,True
T3_SC_DV3_W4,64,L2,43,43,0,0,1,1.0,7,2,0,0,0,4,660,4,,,2,True,True
