identity_idx,f,seed,condition,layer,rows,n,layered_exact,flooding_exact,layered_only_exact,flooding_only_exact,both_exact,neither_exact,layered_syndrome_ok,flooding_syndrome_ok,layered_only_syndrome_ok,flooding_only_syndrome_ok,both_syndrome_ok,neither_syndrome_ok,iteration_diff,check_update_diff,edge_update_diff,wall_ratio
45,1.0,2026091311,L1_MARGINAL,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9903149626912563
46,1.0,2026091311,L1_ORACLE_U2,L1,49,64,True,False,True,False,False,False,True,False,True,False,False,False,80,3920,11760,8.730447342721881
47,1.0,2026091311,L2_MARGINAL,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9814127615436308
48,1.0,2026091311,L2_ORACLE_U1,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,1.006702105116291
49,1.0,2026091312,L1_MARGINAL,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9914866490785409
50,1.0,2026091312,L1_ORACLE_U2,L1,49,64,True,True,False,False,True,False,True,True,False,False,True,False,3,147,441,1.9538381914128118
51,1.0,2026091312,L2_MARGINAL,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,1.00154303755534
52,1.0,2026091312,L2_ORACLE_U1,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,1.0070072645898767
53,1.0,2026091313,L1_MARGINAL,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9952746754205479
54,1.0,2026091313,L1_ORACLE_U2,L1,49,64,True,True,False,False,True,False,True,True,False,False,True,False,5,245,735,2.581212090606103
55,1.0,2026091313,L2_MARGINAL,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9813030003296868
56,1.0,2026091313,L2_ORACLE_U1,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9903357096844343
57,1.0,2026091314,L1_MARGINAL,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9853089096581016
58,1.0,2026091314,L1_ORACLE_U2,L1,49,64,True,True,False,False,True,False,True,True,False,False,True,False,5,245,735,1.6220217070248932
59,1.0,2026091314,L2_MARGINAL,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9902756330059287
60,1.0,2026091314,L2_ORACLE_U1,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9981769109377746
61,1.0,2026091315,L1_MARGINAL,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9912676935026081
62,1.0,2026091315,L1_ORACLE_U2,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9855252600657188
63,1.0,2026091315,L2_MARGINAL,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,1.0152151650252412
64,1.0,2026091315,L2_ORACLE_U1,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9730667484021999
65,1.2,2026091300,L1_MARGINAL,L1,59,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9717681268216889
66,1.2,2026091300,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,5,295,885,1.6593554603338867
67,1.2,2026091300,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,1.0008912126231402
68,1.2,2026091300,L2_ORACLE_U1,L2,52,64,True,True,False,False,True,False,True,True,False,False,True,False,13,676,2028,1.568433396853866
69,1.2,2026091301,L1_MARGINAL,L1,59,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9852458499206376
70,1.2,2026091301,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,2,118,354,1.437085011946238
71,1.2,2026091301,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9860255193911128
72,1.2,2026091301,L2_ORACLE_U1,L2,52,64,True,True,False,False,True,False,True,True,False,False,True,False,5,260,780,1.9840106127620634
