# frozen CAL 702..1725 even/odd frame_id folds; IMPORT build_shift_prior_concentration + marginalize/conditionalize unmodified; no decoder
# holdout mean -log2 P: full 10-bit symbol + per-plane L1/L2, both directions; worse=max(L1,L2) per direction, avg=mean of directions
# best=1e-2 Δ0.00022 vs 1e-4 → freeze 1e-4; 6dp agreement with S1 session table verified (10/10 avg cells)
eps,full_EtoO,full_OtoE,full_avg,worse_EtoO,worse_OtoE,worse_avg
1e-05,6.7554435880676245,6.7502636692034432,6.7528536286355338,3.6912864681571653,3.6904146762088206,3.6908505721829927
0.0001,6.7554409571761678,6.750261151045045,6.7528510541106064,3.6912857664720145,3.6904140155504828,3.6908498910112488
0.001,6.7554152292394223,6.7502365478218955,6.7528258885306585,3.6912792354116162,3.6904078938738412,3.6908435646427287
0.01,6.7552149232270882,6.7500472331421371,6.7526310781846126,3.6912615855173287,3.6903942514332719,3.6908279184753003
0.1,6.7579537376237528,6.7528752778805963,6.7554145077521746,3.6950635960785108,3.6942293762321183,3.6946464861553148
